Opportunity_External_ID__c,Name,AccountId,StageName,CloseDate,Amount,Description
tjmaxx_opty,TJ Maxx Grant Application,001Ox00001aKcqKIAS,Prospecting,2026-12-31,50000,"Grant range: $50,000"
capitalonefoundation_opty,Capital One Foundation Grant Application,001Ox00001aKcqLIAS,Prospecting,2026-12-31,,
estelauder_opty,Estée Lauder Grant Application,001Ox00001aKcqMIAS,Prospecting,2026-12-31,,
roberthalf_opty,Robert Half Grant Application,001Ox00001aKcqNIAS,Prospecting,2026-12-31,,
geico_opty,GEICO Grant Application,001Ox00001aKcqOIAS,Prospecting,2026-12-31,,
nationalgrid_opty,National Grid Grant Application,001Ox00001V7FlUIAV,Prospecting,2026-12-31,,
pepsicofoundation_opty,PepsiCo Foundation Grant Application,001Ox00001aKcqPIAS,Prospecting,2026-12-31,25000,"Grant range: $25,000-$300,000"
dollargeneral_opty,Dollar General Grant Application,001Ox00001aKcqQIAS,Prospecting,2026-12-31,3000,"Grant range: $3,000-$10,000"
jetblue_opty,JetBlue Grant Application,,Prospecting,2026-12-31,,
mastercard_opty,Master Card Grant Application,,Prospecting,2026-12-31,,
verizonfoundationpotentialsbutwedoneedverizonrowunderpartners_opty,Verizon Foundation - Potentials Grant Application,001Ox00001aKcqRIAS,Prospecting,2026-12-31,,
alo_opty,Alo Grant Application,001Ox00001aKcqSIAS,Prospecting,2026-12-31,,
nationwidemutualinsurancecompany_opty,Nationwide Mutual Insurance company Grant Application,001Ox00001aKcqTIAS,Prospecting,2026-12-31,,
unionbank_opty,Union Bank Grant Application,001Ox00001aKcqUIAS,Prospecting,2026-12-31,,
thestandard_opty,The Standard Grant Application,001Ox00001aKUWAIA4,Prospecting,2026-12-31,,
thejmsmuckercompany_opty,The J.M. Smucker Company. Grant Application,001Ox00001aKcqVIAS,Prospecting,2026-12-31,,
dishnetwork_opty,Dish Network Grant Application,001Ox00001aKcqWIAS,Prospecting,2026-12-31,,
feldentertainment_opty,Feld Entertainment Grant Application,001Ox00001aKcqXIAS,Prospecting,2026-12-31,,
ramirezassetmanagement_opty,Ramirez Asset Management Grant Application,001Ox00001aKcqYIAS,Prospecting,2026-12-31,,
buzzfeed_opty,Buzzfeed Grant Application,001Ox00001aKcqZIAS,Prospecting,2026-12-31,,
charlesschwab_opty,Charles Schwab Grant Application,001Ox00001aKcqaIAC,Prospecting,2026-12-31,,
paypalinc_opty,PayPal Inc. Grant Application,001Ox00001aKcqbIAC,Prospecting,2026-12-31,,
aerie_opty,Aerie Grant Application,001Ox00001aKcqcIAC,Prospecting,2026-12-31,,
cosmopolitanoflasvegas_opty,Cosmopolitan of Las Vegas Grant Application,001Ox00001aKcqdIAC,Prospecting,2026-12-31,,
generalmotors_opty,General Motors Grant Application,001Ox00001aKcqeIAC,Prospecting,2026-12-31,,
joann_opty,Joann Grant Application,001Ox00001aKcqfIAC,Prospecting,2026-12-31,,
thecumminsfoundation_opty,The Cummins Foundation Grant Application,001Ox00001aKcqgIAC,Prospecting,2026-12-31,,
mihuzo_opty,Mihuzo Grant Application,001Ox00001aKcqhIAC,Prospecting,2026-12-31,,
ups_opty,UPS Grant Application,001Ox00001aKcqiIAC,Prospecting,2026-12-31,,
theprudentialfoundation_opty,The Prudential Foundation Grant Application,001Ox00001aKcqjIAC,Prospecting,2026-12-31,,
qualcommincorporatedcorporategivingprogram_opty,QUALCOMM Incorporated Corporate Giving Program Grant Application,001Ox00001aKcqkIAC,Prospecting,2026-12-31,,
mutualofamericafinancialgroup_opty,Mutual Of America Financial Group Grant Application,001Ox00001aKcqlIAC,Prospecting,2026-12-31,,
customersbank_opty,Customers Bank Grant Application,001Ox00001aKcqmIAC,Prospecting,2026-12-31,,
cocacola_opty,Coca Cola Grant Application,001Ox00001aKcqnIAC,Prospecting,2026-12-31,,
statefarm_opty,State Farm Grant Application,001Ox00001aKcqoIAC,Prospecting,2026-12-31,,
americanexpress_opty,American Express Grant Application,001Ox00001aKcqpIAC,Prospecting,2026-12-31,,
deutschebankamericas_opty,Deutsche Bank Americas Grant Application,001Ox00001aKcqqIAC,Prospecting,2026-12-31,,
jetblue_opty,JetBlue Grant Application,,Prospecting,2026-12-31,,
mastercard_opty,Master Card Grant Application,,Prospecting,2026-12-31,,
nationalgrid_opty,National Grid Grant Application,001Ox00001V7FlUIAV,Prospecting,2026-12-31,,
newbalance_opty,New Balance Grant Application,001Ox00001aKcqrIAC,Prospecting,2026-12-31,,
mazdafoundation_opty,Mazda Foundation Grant Application,001Ox00001V7FlWIAV,Prospecting,2026-12-31,,
coachfoundation_opty,Coach Foundation Grant Application,001Ox00001V7FlqIAF,Prospecting,2026-12-31,,
brooklynnets_opty,Brooklyn Nets Grant Application,001Ox00001aKcqsIAC,Prospecting,2026-12-31,15000,"Grant range: $15,000-$25,000"
wholefoodsgardengrantprogram_opty,Whole Foods Garden Grant Program Grant Application,001Ox00001aKcqtIAC,Prospecting,2026-12-31,,"Grant range: $3,000 monetary grant to support a new or existing edible educational garden"
newyorkcommunitybankfoundationgrants_opty,New York Community Bank Foundation Grants Grant Application,001Ox00001aKcquIAC,Prospecting,2026-10-31,,
conedisoninquiryform_opty,ConEdison Inquiry Form Grant Application,001Ox00001aKcqvIAC,Prospecting,2026-04-30,,
morganstanley_opty,Morgan Stanley Grant Application,001Ox00001aKcqwIAC,Prospecting,2026-12-31,,
societyofhispanicproffesionalengineers_opty,Society of Hispanic Proffesional Engineers Grant Application,001Ox00001aKcqxIAC,Prospecting,2026-07-01,,"Grant range: andreab@shpe.org
shpenational@shpe.org
events@shpe.org
programs@shpe.org"
walmartsparksgoodgrant_opty,Walmart Sparks Good Grant Grant Application,001Ox00001aKcqyIAC,Prospecting,2026-04-15,250,"Grant range: $250 - $5,000"
dollargeneralyouthliteracygrant_opty,Dollar General Youth Literacy Grant Grant Application,001Ox00001aKcqzIAC,Prospecting,2026-04-02,,Grant range: up to $5000
thecocacolafoundation_opty,The CocaCola Foundation Grant Application,001Ox00001aKcr0IAC,Prospecting,2026-12-31,,"Grant range: $10,000 up to $5,000,000"
costco_opty,Costco Grant Application,001Ox00001aKcr1IAC,Prospecting,2026-12-31,,Grant range: Varies
fivebelowfoundation_opty,Five Below Foundation Grant Application,001Ox00001aKcr2IAC,Prospecting,2026-12-31,,Grant range: 10% of sales from supporters who present the events flyer on selected date(s)
alogivesfoundation_opty,Alo Gives Foundation Grant Application,001Ox00001aKcr3IAC,Prospecting,2026-12-31,,"Grant range: Median: $15,000 - $23,000"
thestandard_opty,The Standard Grant Application,001Ox00001aKUWAIA4,Prospecting,2026-12-31,,"Grant range: $500 to $25,000."
nbcuniversallocalimpactgrant_opty,NBC Universal Local Impact Grant Grant Application,001Ox00001aKcr4IAC,Prospecting,2026-04-24,,Grant range: Varies
thetjxfoundation_opty,The TJX Foundation Grant Application,001Ox00001aKcr5IAC,Prospecting,2026-10-31,,"Grant range: Average - $5,000"
resortworldgives_opty,Resort World Gives Grant Application,001Ox00001aDMPFIA4,Prospecting,2026-11-01,50000,"Grant range: $50,000"
tdcharitablefoundationcapacitybuildingfund_opty,TD Charitable Foundation - Capacity Building Fund Grant Application,001Ox00001aKcr6IAC,Prospecting,2026-05-15,100000,"Grant range: $100,000"
brooklynnets_opty,Brooklyn Nets Grant Application,001Ox00001aKcqsIAC,Prospecting,2026-12-31,15000,"Grant range: $15,000-$25,000"
geico_opty,Geico Grant Application,001Ox00001aKcqOIAS,Prospecting,2026-12-31,,Grant range: Varies
costco_opty,Costco Grant Application,001Ox00001aKcr1IAC,Prospecting,2026-12-31,,Grant range: Varies
thestandard_opty,The Standard Grant Application,001Ox00001aKUWAIA4,Prospecting,2026-12-31,,"Grant range: $500 to $25,000."
hispanicfederation2026upliftnewyorkstate_opty,Hispanic Federation 2026 UPLift New York State Grant Application,001Ox00001V7FlMIAV,Application Submitted,2026-02-06,,
viapathfoundation_opty,ViaPath Foundation Grant Application,001Ox00001aDMOtIAO,Application Submitted,2026-02-20,,"Grant range: cap of $50,000 over a three-year period"
spectrumdigitaleducationgrant_opty,Spectrum Digital Education Grant Grant Application,001Ox00001aDMOuIAO,Application Submitted,2026-02-27,2500,"Grant range: $2,500 - $50,000"
marysmulligancharitabletrustbankofamerica_opty,Mary S. Mulligan Charitable Trust (Bank of America) Grant Application,001Ox00001aDMOvIAO,Application Submitted,2026-03-01,,"Grant range: $2,000 up to about $36,150"
americaneaglefoundation_opty,American Eagle Foundation Grant Application,001Ox00001aDMOwIAO,Application Submitted,2026-03-02,5000,"Grant range: $5,000 - $15,000"
unidosus–pionerasenstem_opty,UnidosUS – Pioneras en STEM Grant Application,,Application Submitted,2026-04-01,20000,"Grant range: $20,000"
unidosus–escaleras_opty,UnidosUS – Escaleras Grant Application,,Application Submitted,2026-04-01,40000,"Grant range: $40,000"
thefrancesledwinlcummingsmemorialfund_opty,The Frances L. & Edwin L. Cummings Memorial Fund Grant Application,001Ox00001aDMOxIAO,Application Submitted,2026-04-01,,"Grant range: Average - $70,000"
laurabvoglerfoundation_opty,Laura B. Vogler Foundation Grant Application,001Ox00001aDMOyIAO,Application Submitted,2026-07-01,3000,"Grant range: $3,000–$4,000"
williamtgrantfoundationyouthserviceimprovementgrant_opty,William T. Grant Foundation (Youth Service Improvement Grant) Grant Application,001Ox00001aDMOzIAO,Application Submitted,2026-12-31,25000,"Grant range: $25,000"
mothercabrinihealthfoundation_opty,Mother Cabrini Health Foundation Grant Application,001Ox00001aDMP2IAO,Application Submitted,2026-04-23,,"Grant range: $75,000+"
brooklynorg_opty,Brooklyn Org Grant Application,001Ox00001aDMP3IAO,Application Submitted,2026-09-30,,
nbcuniverallocalimpactgrant_opty,NBCUniveral Local Impact Grant Grant Application,001Ox00001b5sF5IAI,Application Submitted,2026-04-24,,Grant range: No more than 30% of reported expenses
lawrencefoundation_opty,Lawrence Foundation Grant Application,001Ox00001aDMP5IAO,Application Submitted,2026-04-30,5000,"Grant range: $5,000 - $10,000"
acquisfoundation_opty,Acquis Foundation Grant Application,001Ox00001aDMP6IAO,Application Submitted,2026-04-30,25000,"Grant range: $25,000"
theslomo&cindysiivianfoundation_opty,The Slomo & Cindy Siivian Foundation Grant Application,001Ox00001aDMP7IAO,Application Submitted,2026-06-01,20000,"Grant range: $20,000"
newprofit_opty,New Profit Grant Application,001Ox00001aDMP8IAO,Application Submitted,2026-05-26,,"Grant range: $110,000 (100k for organization; 10k for leadership development)"
arborrising_opty,Arbor Rising Grant Application,001Ox00001aDMPEIA4,Prospecting,2026-06-09,125000,"Grant range: $125,000"
resortworldgives_opty,Resort World Gives Grant Application,001Ox00001aDMPFIA4,Prospecting,2026-11-01,50000,"Grant range: $50,000"
irmalandabramscrollcharitabletrustwellsfargo_opty,Irma L. and Abram S. Croll Charitable Trust (Wells Fargo) Grant Application,001Ox00001aK056IAC,Prospecting,2026-06-01,,"Grant range: $25,000 to $200,000"
charlesh.stoutfoundation_opty,Charles H. Stout Foundation Grant Application,001Ox00001V7FlIIAV,Prospecting,2026-06-15,25000,"Grant range: $25,000"
conciouskidswellsfargo_opty,Concious Kids (Wells Fargo) Grant Application,001Ox00001aK057IAC,Prospecting,2026-06-15,,"Grant range: $10,000 to $20,000"
irawdecampfoundation_opty,Ira W. DeCamp Foundation Grant Application,001Ox00001aK058IAC,Prospecting,2026-07-15,,"Grant range: $25,000 up to at least $100,000+"
thepatrinafoundation_opty,The Patrina Foundation Grant Application,001Ox00001aK059IAC,Prospecting,2026-06-30,,Grant range: Varies
hispanicfederation2026upliftnewyorkstate_opty,Hispanic Federation 2026 UPLift New York State Grant Application,001Ox00001V7FlMIAV,Application Submitted,2026-02-06,,
viapathfoundation_opty,ViaPath Foundation Grant Application,001Ox00001aDMOtIAO,Application Submitted,2026-02-20,,"Grant range: cap of $50,000 over a three-year period"
spectrumdigitaleducationgrant_opty,Spectrum Digital Education Grant Grant Application,001Ox00001aDMOuIAO,Application Submitted,2026-02-27,2500,"Grant range: $2,500 - $50,000"
marysmulligancharitabletrustbankofamerica_opty,Mary S. Mulligan Charitable Trust (Bank of America) Grant Application,001Ox00001aDMOvIAO,Application Submitted,2026-03-01,,"Grant range: $2,000 up to about $36,150"
americaneaglefoundation_opty,American Eagle Foundation Grant Application,001Ox00001aDMOwIAO,Application Submitted,2026-03-02,5000,"Grant range: $5,000 - $15,000"
thefrancesledwinlcummingsmemorialfund_opty,The Frances L. & Edwin L. Cummings Memorial Fund Grant Application,001Ox00001aDMOxIAO,Application Submitted,2026-04-01,,"Grant range: Average - $70,000"
laurabvoglerfoundation_opty,Laura B. Vogler Foundation Grant Application,001Ox00001aDMOyIAO,Application Submitted,2026-07-01,3000,"Grant range: $3,000–$4,000"
williamtgrantfoundationyouthserviceimprovementgrant_opty,William T. Grant Foundation (Youth Service Improvement Grant) Grant Application,001Ox00001aDMOzIAO,Application Submitted,2026-04-01,25000,"Grant range: $25,000"
unidosus–pionerasenstem_opty,UnidosUS – Pioneras en STEM Grant Application,,Application Submitted,2026-04-01,20000,"Grant range: $20,000"
unidosus–escaleras_opty,UnidosUS – Escaleras Grant Application,,Application Submitted,2026-04-01,40000,"Grant range: $40,000"
mothercabrinihealthfoundation_opty,Mother Cabrini Health Foundation Grant Application,001Ox00001aDMP2IAO,Application Submitted,2026-12-31,,"Grant range: $75,000+"
brooklynorg_opty,Brooklyn Org Grant Application,001Ox00001aDMP3IAO,Application Submitted,2026-09-30,,
nbcuniverallocalimpactgrant_opty,NBCUniveral Local Impact Grant Grant Application,001Ox00001b5sF5IAI,Application Submitted,2026-04-24,,Grant range: No more than 30% of reported expenses
lawrencefoundation_opty,Lawrence Foundation Grant Application,001Ox00001aDMP5IAO,Application Submitted,2026-04-30,5000,"Grant range: $5,000 - $10,000"
acquisfoundation_opty,Acquis Foundation Grant Application,001Ox00001aDMP6IAO,Application Submitted,2026-12-31,,Grant range: June 11
theslomo&cindysiivianfoundation_opty,The Slomo & Cindy Siivian Foundation Grant Application,001Ox00001aDMP7IAO,Application Submitted,2026-06-01,20000,"Grant range: $20,000"
newprofit_opty,New Profit Grant Application,001Ox00001aDMP8IAO,Application Submitted,2026-05-26,,"Grant range: $110,000 (100k for organization; 10k for leadership development)"
tigerfoundation_opty,Tiger Foundation Grant Application,001Ox00001aDMP9IAO,Application Submitted,2026-12-31,50000,"Grant range: $50,000 - $300,000 (Average $200,000)"
sillsfamilyfoundation_opty,Sills Family Foundation Grant Application,001Ox00001b5sF7IAI,LOI Submitted,2026-12-31,,"Grant range: $10,000 to $25,000"
robinhoodfoundation_opty,Robin Hood Foundation Grant Application,001Ox00001aDMPAIA4,Application Submitted,2026-12-31,100000,"Grant range: $100,000 - $1,600,000"
kars4kids_opty,Kars4Kids Grant Application,001Ox00001aDMPBIA4,Application Submitted,2026-12-31,,"Grant range: $500 to $2,000"
firsthorizonfoundation_opty,First Horizon Foundation Grant Application,001Ox00001aDMPCIA4,Prospecting,2026-12-31,,"Grant range: $5,000 to $25,000"
ichigofoundation_opty,Ichigo Foundation Grant Application,001Ox00001aDMPDIA4,Prospecting,2026-12-31,25000,"Grant range: $25,000-$250,000"
arborrising_opty,Arbor Rising Grant Application,001Ox00001aDMPEIA4,Prospecting,2026-06-09,125000,"Grant range: $125,000"
None_opty,Resort World Gives Grant Application,,Prospecting,2026-11-01,50000,"Grant range: $50,000"
None_opty,Forest Hills Stadium Community Fund Grant Application,,Prospecting,2026-12-31,,"Grant range: Tier 1: up to $5000 Tier 2: $5000 - $10,000 Tier 3: $10,000 - $15,000"
None_opty,CCNSF Grant Application,,Prospecting,2026-10-17,45000,"Grant range: $45,000"
m&tcharitablefund_opty,M&T Charitable Fund Grant Application,001Ox00001V7FlEIAV,Prospecting,2026-10-31,,Grant range: Varies
bancopopularfoundation_opty,Banco Popular Foundation Grant Application,001Ox00001V7FlFIAV,Prospecting,2026-08-31,10000,"Grant range: $10,000"
sillsfamilyfoundation_opty,Sills Family Foundation Grant Application,001Ox00001b5sF7IAI,Application Submitted,2026-12-31,,"Grant range: $10,000 to $25,000"
mazdafoundation_opty,Mazda Foundation Grant Application,001Ox00001V7FlWIAV,Prospecting,2026-12-31,,"Grant range: Average $350,000+"
zegarfamilyfoundation_opty,Zegar Family Foundation Grant Application,001Ox00001V7FlXIAV,Prospecting,2026-12-31,,Grant range: 1k-1M
thestarrfoundation_opty,The Starr Foundation Grant Application,001Ox00001V7FlZIAV,Prospecting,2026-12-31,,Grant range: 50k
americanexpresscommunitygiving_opty,American Express Community Giving Grant Application,001Ox00001V7FlaIAF,Prospecting,2026-12-31,,Grant range: 10k
charles&lynnschustermanfamilyphilanthropies_opty,Charles & Lynn Schusterman Family Philanthropies Grant Application,001Ox00001V7FlcIAF,Prospecting,2026-12-31,,Grant range: 30k-50k
thecricketislandfoundation_opty,The Cricket Island Foundation Grant Application,001Ox00001V7FldIAF,Prospecting,2026-12-31,,Grant range: 20k-100k
voyafinancialfoundation_opty,Voya Financial Foundation Grant Application,001Ox00001V7FleIAF,Prospecting,2026-12-31,,Grant range: 100k
schottfoundation_opty,Schott Foundation Grant Application,001Ox00001V7FlhIAF,Prospecting,2026-12-31,,Grant range: N/A
firstniagara_opty,First Niagara (No website) Grant Application,001Ox00001V7FliIAF,Prospecting,2026-12-31,,Grant range: N/A
charlesr&winifredrweberfoundation_opty,Charles R & Winifred R Weber Foundation (No website) Grant Application,001Ox00001V7FllIAF,Prospecting,2026-12-31,,Grant range: N/A
carol&geneludwigfamilyfoundation_opty,Carol & Gene Ludwig Family Foundation Grant Application,001Ox00001V7FloIAF,Prospecting,2026-12-31,,Grant range: N/A
ainsliefoundation_opty,Ainslie Foundation (No website) Grant Application,001Ox00001V7FlpIAF,Prospecting,2026-12-31,,Grant range: Average - $158K
ms.foundationforwomen_opty,Ms. Foundation for Women Grant Application,001Ox00001V7FlbIAF,Prospecting,2026-12-31,15000,"Grant range: $15,000 - $25,000"
theheckscherfoundationforchildren_opty,The Heckscher Foundation for Children Grant Application,001Ox00001aHKWcIAO,Prospecting,2026-12-31,2250,"Grant range: $2,250 - $750,000 (median $135,873)"
thejpbfoundationnowfreedomtogetherfoundation_opty,The JPB Foundation (Now Freedom Together Foundation) Grant Application,001Ox00001aHKWdIAO,Prospecting,2026-12-31,,"Grant range: $297,013 (avg. new grantee) - $890,202 (avg. repeat grantee) (Median: $500,000)"
solonesummerfieldfoundation_opty,Solon E. Summerfield Foundation Grant Application,001Ox00001aHKWeIAO,Prospecting,2026-12-31,1000,"Grant range: $1,000 - $986,000 (Average $100,000+)"
williamrkenanjrcharitabletrustnyc_opty,William R. Kenan Jr. Charitable Trust (NYC) Grant Application,001Ox00001aHKWfIAO,Prospecting,2026-12-31,,"Grant range: $500,000+"
thewallacefoundation_opty,The Wallace Foundation Grant Application,001Ox00001aHKWgIAO,Prospecting,2026-12-31,,"Grant range: Average - $400,000 over 2.8 years"
jpmorganchase:thehagedornfund_opty,The Hagedorn Fund (JP Morgan) Grant Application,001Ox00001V7FlmIAF,Prospecting,2026-12-31,,Grant range: No publically available contribution amounts
thebezosfamilyfoundation_opty,The Bezos Family Foundation Grant Application,001Ox00001aHKWhIAO,Prospecting,2026-12-31,5000,"Grant range: $5,000 - $21,000,000 (Average $75,000)"
thehelmsleycharitabletrustnyc_opty,The Helmsley Charitable Trust (NYC) Grant Application,001Ox00001aHKWiIAO,Prospecting,2026-12-31,100000,"Grant range: $100,000–$1,000,000"
verizonfoundation_opty,Verizon Foundation Grant Application,001Ox00001aHKWjIAO,Prospecting,2026-12-31,,Grant range: small to large multi-figure awards
selectequitygroupfoundation_opty,Select Equity Group Foundation Grant Application,001Ox00001aHKWkIAO,Prospecting,2026-12-31,3000,"Grant range: $3,000 - $300,000"
pwcfoundationinc_opty,PWC Foundation Inc. Grant Application,001Ox00001aHKWlIAO,Prospecting,2026-12-31,10000,"Grant range: $10,000 - $6,000,000"
carsonfamilycharitabletrustnowebsite_opty,Carson Family Charitable Trust (No website) Grant Application,001Ox00001aHKWmIAO,Prospecting,2026-12-31,,"Grant range: Median - $150,000"
billmelindagatesfoundation_opty,Bill & Melinda Gates Foundation Grant Application,001Ox00001ayQ8vIAE,Prospecting,2026-12-31,,"Grant range: $500,000 up to several million"
goldmansachsgives_opty,Goldman Sachs Gives Grant Application,001Ox00001aHKWoIAO,Prospecting,2026-12-31,,Grant range: Varies
prospecthillfoundation_opty,Prospect Hill Foundation Grant Application,001Ox00001aHKWpIAO,Prospecting,2026-12-31,,Grant range: Varies
americanexpressfoundation_opty,American Express Foundation Grant Application,001Ox00001aHKWqIAO,Prospecting,2026-12-31,,Grant range: Depends on project
theposesfamilyfoundationnowebsite_opty,The Poses Family Foundation (No website) Grant Application,001Ox00001aHKWrIAO,Prospecting,2026-12-31,,"Grant range: Average - $20,000"
meringofffamilyfoundation_opty,Meringoff Family Foundation Grant Application,001Ox00001V7FljIAF,Prospecting,2026-12-31,,"Grant range: $3,000 up to $75,000+"
carmelhillfund_opty,Carmel Hill Fund Grant Application,001Ox00001aHKWsIAO,Prospecting,2026-12-31,25000,"Grant range: $25,000 - $250,000"
thesemnanifamilyfoundation_opty,The Semnani Family Foundation Grant Application,001Ox00001aHKWtIAO,Prospecting,2026-12-31,,Grant range: --
communitasamericamicrogrant_opty,Communitas America Micro-Grant Grant Application,001Ox00001aKcFBIA0,Prospecting,2026-12-31,,
patricjmcgovernfoundation_opty,Patric J McGovern Foundation Grant Application,001Ox00001ayQ8wIAE,Prospecting,2026-12-31,,Grant range: Differing amounts
zegarfamilyfoundation_opty,Zegar Family Foundation Grant Application,001Ox00001V7FlXIAV,Prospecting,2026-12-31,,
themoriahfund_opty,The Moriah Fund Grant Application,001Ox00001aKcFDIA0,Prospecting,2026-12-31,,Grant range: 50k
thetowfoundation_opty,The Tow Foundation Grant Application,001Ox00001aKcFEIA0,Prospecting,2026-12-31,,Grant range: 108k average
macarthurfoundation_opty,MacArthur Foundation Grant Application,001Ox00001aKcFFIA0,Prospecting,2026-12-31,,Grant range: 20k-1M
theharnischfoundation_opty,The Harnisch Foundation Grant Application,001Ox00001aKcFGIA0,Prospecting,2026-12-31,,Grant range: 1k-100k
roberttonybadercharitablefoundation_opty,Robert & Tony Bader Charitable Foundation Grant Application,001Ox00001aKcFHIA0,Prospecting,2026-12-31,,Grant range: varying amounts
thepeterandcarmenluciabuckfoundation_opty,The Peter and Carmen Lucia Buck Foundation Grant Application,001Ox00001aKcFIIA0,Prospecting,2026-12-31,,Grant range: Varying amounts from 70k-1M
herbblockfoundationdefendingbasicfreedomsgrant_opty,Herb Block Foundation - Defending Basic Freedoms Grant Grant Application,001Ox00001aKcFJIA0,Prospecting,2026-12-31,,Grant range: Up to 25k
theisabelallendefoundation_opty,The Isabel Allende Foundation Grant Application,001Ox00001aJTCXIA4,Prospecting,2026-12-31,,Grant range: 1k-10k
thecarrollandmiltonpetriefoundation_opty,The Carroll and Milton Petrie Foundation Grant Application,001Ox00001aKcFKIA0,Prospecting,2026-12-31,,
dcuforkidsgrants_opty,DCU For Kids Grants Grant Application,001Ox00001aKcFLIA0,Prospecting,2026-12-31,,"Grant range: Instrumentl says $12,500 average grant size"
