"sf__Id","sf__Error",Id
"001Ox00001aExMWIA0","DELETE_FAILED:Your attempt to delete Noel and Noel Borbon Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Noel Borbon Household $250 Donation 12/31/2025, Noel and Noel Borbon Household $250 Donation 12/31/2025
:--","001Ox00001aExMWIA0"
"001Ox00001aExMXIA0","DELETE_FAILED:Your attempt to delete Diana and Diana Plazas-Trowbridge Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Diana Plazas-Trowbridge Household $500 Donation 12/31/2025, Diana and Diana Plazas-Trowbridge Household $500 Donation 12/31/2025
:--","001Ox00001aExMXIA0"
"001Ox00001aExMYIA0","DELETE_FAILED:Your attempt to delete Suhailey and Suhailey Nunez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Suhailey Nunez Household $538 Donation 12/31/2025, Suhailey and Suhailey Nunez Household $538 Donation 12/31/2025
:--","001Ox00001aExMYIA0"
"001Ox00001aExMZIA0","DELETE_FAILED:Your attempt to delete Elizabeth and Elizabeth Faler Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Elizabeth Faler Household $400 Donation 12/31/2025, Elizabeth and Elizabeth Faler Household $400 Donation 12/31/2025
:--","001Ox00001aExMZIA0"
"001Ox00001aExMaIAK","DELETE_FAILED:Your attempt to delete Ignaura and Ignaura Tejada Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Ignaura Tejada Household $396 Donation 12/31/2025, Ignaura and Ignaura Tejada Household $396 Donation 12/31/2025
:--","001Ox00001aExMaIAK"
"001Ox00001aExMbIAK","DELETE_FAILED:Your attempt to delete Andreina and Andreina Gonzalez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Andreina Gonzalez Household $200 Donation 12/31/2025, Andreina and Andreina Gonzalez Household $200 Donation 12/31/2025
:--","001Ox00001aExMbIAK"
"001Ox00001aExMcIAK","DELETE_FAILED:Your attempt to delete Cristina and Cristina Pacheco Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Cristina Pacheco Household $563 Donation 12/31/2025, Cristina and Cristina Pacheco Household $563 Donation 12/31/2025
:--","001Ox00001aExMcIAK"
"001Ox00001aExMdIAK","DELETE_FAILED:Your attempt to delete Luis and Luis Alonso Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Luis Alonso Household $200 Donation 12/31/2025, Luis and Luis Alonso Household $200 Donation 12/31/2025
:--","001Ox00001aExMdIAK"
"001Ox00001aExMeIAK","DELETE_FAILED:Your attempt to delete Tomas and Tomas Colloca Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Tomas Colloca Household $225 Donation 12/31/2025, Tomas and Tomas Colloca Household $225 Donation 12/31/2025
:--","001Ox00001aExMeIAK"
"001Ox00001aExMfIAK","DELETE_FAILED:Your attempt to delete Christine and Christine Switzer Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Christine Switzer Household $1270 Donation 12/31/2025, Christine and Christine Switzer Household $1270 Donation 12/31/2025
:--","001Ox00001aExMfIAK"
"001Ox00001aExMgIAK","DELETE_FAILED:Your attempt to delete Irais Daniela and Irais Daniela Galvez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Irais Daniela Galvez Household $400 Donation 12/31/2025, Irais Daniela and Irais Daniela Galvez Household $400 Donation 12/31/2025
:--","001Ox00001aExMgIAK"
"001Ox00001aExMhIAK","DELETE_FAILED:Your attempt to delete Timothy and Timothy Morales Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Timothy Morales Household $400 Donation 12/31/2025, Timothy and Timothy Morales Household $400 Donation 12/31/2025
:--","001Ox00001aExMhIAK"
"001Ox00001aExMiIAK","DELETE_FAILED:Your attempt to delete Patricia and Patricia Sousa Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Patricia Sousa Household $805 Donation 12/31/2024, Patricia and Patricia Sousa Household $805 Donation 12/31/2024
:--","001Ox00001aExMiIAK"
"001Ox00001aExMjIAK","DELETE_FAILED:Your attempt to delete Orit and Orit Goldring Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Orit Goldring Household $670 Donation 12/31/2024, Orit and Orit Goldring Household $670 Donation 12/31/2024
:--","001Ox00001aExMjIAK"
"001Ox00001aExMkIAK","DELETE_FAILED:Your attempt to delete John and John Jurcisin Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: John Jurcisin Household $1000 Donation 12/31/2023, John and John Jurcisin Household $1000 Donation 12/31/2023
:--","001Ox00001aExMkIAK"
"001Ox00001aExMmIAK","DELETE_FAILED:Your attempt to delete Lawrence and Lawrence Prybylski Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Lawrence Prybylski Household $500 Donation 12/31/2024, Lawrence Prybylski Household $500 Donation 12/31/2023, Lawrence Prybylski Household $500 Donation 12/31/2022, Lawrence and Lawrence Prybylski Household $500 Donation 12/31/2024, ..., ...
:--","001Ox00001aExMmIAK"
"001Ox00001aExMnIAK","DELETE_FAILED:Your attempt to delete Nicolas and Nicolas Vincent Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Nicolas Vincent Household $250 Donation 12/31/2024, Nicolas and Nicolas Vincent Household $250 Donation 12/31/2024
:--","001Ox00001aExMnIAK"
"001Ox00001aExMoIAK","DELETE_FAILED:Your attempt to delete Denise and Denise Sibrian Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Denise Sibrian Household $250 Donation 12/31/2024, Denise and Denise Sibrian Household $250 Donation 12/31/2024
:--","001Ox00001aExMoIAK"
"001Ox00001aExMpIAK","DELETE_FAILED:Your attempt to delete Neysa and Neysa Alsina Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Neysa Alsina Household $500 Donation 12/31/2023, Neysa and Neysa Alsina Household $500 Donation 12/31/2023
:--","001Ox00001aExMpIAK"
"001Ox00001aExMqIAK","DELETE_FAILED:Your attempt to delete Elena and Elena Paraskevas-Thadani Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Elena Paraskevas-Thadani Household $400 Donation 12/31/2023, Elena Paraskevas-Thadani Household $1000 Donation 12/31/2022, Elena and Elena Paraskevas-Thadani Household $400 Donation 12/31/2023, Elena and Elena Paraskevas-Thadani Household $1000 Donation 12/31/2022
:--","001Ox00001aExMqIAK"
"001Ox00001aExMrIAK","DELETE_FAILED:Your attempt to delete Zully and Zully Avellaneda Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Zully Avellaneda Household $350 Donation 12/31/2024, Zully Avellaneda Household $400 Donation 12/31/2023, Zully and Zully Avellaneda Household $350 Donation 12/31/2024, Zully and Zully Avellaneda Household $400 Donation 12/31/2023
:--","001Ox00001aExMrIAK"
"001Ox00001aExMtIAK","DELETE_FAILED:Your attempt to delete Paola and Paola Espinosa Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Paola Espinosa Household $200 Donation 12/31/2024, Paola Espinosa Household $200 Donation 12/31/2023, Paola Espinosa Household $250 Donation 12/31/2022, Paola and Paola Espinosa Household $200 Donation 12/31/2024, ..., ...
:--","001Ox00001aExMtIAK"
"001Ox00001aExMuIAK","DELETE_FAILED:Your attempt to delete Jane and Jane Nadler Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Jane Nadler Household $200 Donation 12/31/2023, Jane Nadler Household $200 Donation 12/31/2022, Jane and Jane Nadler Household $200 Donation 12/31/2023, Jane and Jane Nadler Household $200 Donation 12/31/2022
:--","001Ox00001aExMuIAK"
"001Ox00001aExMvIAK","DELETE_FAILED:Your attempt to delete Catalina and Catalina Hodenfield Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Catalina Hodenfield Household $300 Donation 12/31/2024, Catalina and Catalina Hodenfield Household $300 Donation 12/31/2024
:--","001Ox00001aExMvIAK"
"001Ox00001aExMwIAK","DELETE_FAILED:Your attempt to delete Christine and Christine Hogan Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Christine Hogan Household $250 Donation 12/31/2024, Christine and Christine Hogan Household $250 Donation 12/31/2024
:--","001Ox00001aExMwIAK"
"001Ox00001aExMxIAK","DELETE_FAILED:Your attempt to delete Geidy and Geidy Perez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Geidy Perez Household $250 Donation 12/31/2024, Geidy and Geidy Perez Household $250 Donation 12/31/2024
:--","001Ox00001aExMxIAK"
"001Ox00001aExMyIAK","DELETE_FAILED:Your attempt to delete Valerie and Valerie Aloe Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Valerie Aloe Household $350 Donation 12/31/2023, Valerie and Valerie Aloe Household $350 Donation 12/31/2023
:--","001Ox00001aExMyIAK"
"001Ox00001aExMzIAK","DELETE_FAILED:Your attempt to delete Edwin and Edwin Pisani Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Edwin Pisani Household $250 Donation 12/31/2023, Edwin and Edwin Pisani Household $250 Donation 12/31/2023
:--","001Ox00001aExMzIAK"
"001Ox00001aExN0IAK","DELETE_FAILED:Your attempt to delete Kelli-Anne and Kelli-Anne Cerini Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Kelli-Anne Cerini Household $250 Donation 12/31/2023, Kelli-Anne and Kelli-Anne Cerini Household $250 Donation 12/31/2023
:--","001Ox00001aExN0IAK"
"001Ox00001aExN1IAK","DELETE_FAILED:Your attempt to delete Vianny and Vianny Pichardo Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Vianny Pichardo Household $250 Donation 12/31/2023, Vianny and Vianny Pichardo Household $250 Donation 12/31/2023
:--","001Ox00001aExN1IAK"
"001Ox00001aExN6IAK","DELETE_FAILED:Your attempt to delete Michael and Michael Peguero Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Michael Peguero Household $250 Donation 12/31/2022, Michael and Michael Peguero Household $250 Donation 12/31/2022
:--","001Ox00001aExN6IAK"
"001Ox00001aExN7IAK","DELETE_FAILED:Your attempt to delete Stephanie and Stephanie Perez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Stephanie Perez Household $300 Donation 12/31/2022, Stephanie and Stephanie Perez Household $300 Donation 12/31/2022
:--","001Ox00001aExN7IAK"
"001Ox00001aExN8IAK","DELETE_FAILED:Your attempt to delete Alicia and Alicia Menendez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Alicia Menendez Household $400 Donation 12/31/2022, Alicia and Alicia Menendez Household $400 Donation 12/31/2022
:--","001Ox00001aExN8IAK"
"001Ox00001aExN9IAK","DELETE_FAILED:Your attempt to delete Charlotte and Charlotte Castillo Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Charlotte Castillo Household $400 Donation 12/31/2022, Charlotte and Charlotte Castillo Household $400 Donation 12/31/2022
:--","001Ox00001aExN9IAK"
"001Ox00001aExNAIA0","DELETE_FAILED:Your attempt to delete Crystal and Crystal Stoll Alvarez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Crystal Stoll Alvarez Household $400 Donation 12/31/2022, Crystal and Crystal Stoll Alvarez Household $400 Donation 12/31/2022
:--","001Ox00001aExNAIA0"
"001Ox00001aExNBIA0","DELETE_FAILED:Your attempt to delete Alex and Alex Patterson Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Alex Patterson Household $200 Donation 12/31/2023, Alex and Alex Patterson Household $200 Donation 12/31/2023
:--","001Ox00001aExNBIA0"
"001Ox00001aExNCIA0","DELETE_FAILED:Your attempt to delete James and James Abro Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: James Abro Household $97 Donation 12/31/2025, James and James Abro Household $97 Donation 12/31/2025
:--","001Ox00001aExNCIA0"
"001Ox00001aExNDIA0","DELETE_FAILED:Your attempt to delete Casey and Casey Blake Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Casey Blake Household $75 Donation 12/31/2025, Casey and Casey Blake Household $75 Donation 12/31/2025
:--","001Ox00001aExNDIA0"
"001Ox00001aExNEIA0","DELETE_FAILED:Your attempt to delete Alicia and Alicia Sierra Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Alicia Sierra Household $110 Donation 12/31/2025, Alicia and Alicia Sierra Household $110 Donation 12/31/2025
:--","001Ox00001aExNEIA0"
"001Ox00001aExNFIA0","DELETE_FAILED:Your attempt to delete Clara and Clara Rapuzzi Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Clara Rapuzzi Household $100 Donation 12/31/2025, Clara Rapuzzi Household $100 Donation 12/31/2023, Clara Rapuzzi Household $150 Donation 12/31/2021, Clara and Clara Rapuzzi Household $100 Donation 12/31/2025, ..., ...
:--","001Ox00001aExNFIA0"
"001Ox00001aExNGIA0","DELETE_FAILED:Your attempt to delete Mandy and Mandy Chua Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Mandy Chua Household $100 Donation 12/31/2025, Mandy and Mandy Chua Household $100 Donation 12/31/2025
:--","001Ox00001aExNGIA0"
"001Ox00001aExNHIA0","DELETE_FAILED:Your attempt to delete Tania and Tania Galarza Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Tania Galarza Household $100 Donation 12/31/2025, Tania and Tania Galarza Household $100 Donation 12/31/2025
:--","001Ox00001aExNHIA0"
"001Ox00001aExNIIA0","DELETE_FAILED:Your attempt to delete Fiona and Fiona Brandman Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Fiona Brandman Household $98 Donation 12/31/2025, Fiona and Fiona Brandman Household $98 Donation 12/31/2025
:--","001Ox00001aExNIIA0"
"001Ox00001aExNJIA0","DELETE_FAILED:Your attempt to delete Janaina Isa and Janaina Isa Poeta Frey Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Janaina Isa Poeta Frey Household $160 Donation 12/31/2025, Janaina Isa and Janaina Isa Poeta Frey Household $160 Donation 12/31/2025
:--","001Ox00001aExNJIA0"
"001Ox00001aExNKIA0","DELETE_FAILED:Your attempt to delete Neida Carla and Neida Carla Costa de Freitas Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Neida Carla Costa de Freitas Household $75 Donation 12/31/2025, Neida Carla and Neida Carla Costa de Freitas Household $75 Donation 12/31/2025
:--","001Ox00001aExNKIA0"
"001Ox00001aExNLIA0","DELETE_FAILED:Your attempt to delete Ricardo and Ricardo Camarena Bailon Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Ricardo Camarena Bailon Household $100 Donation 12/31/2025, Ricardo and Ricardo Camarena Bailon Household $100 Donation 12/31/2025
:--","001Ox00001aExNLIA0"
"001Ox00001aExNMIA0","DELETE_FAILED:Your attempt to delete Paola and Paola Arias Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Paola Arias Household $100 Donation 12/31/2024, Paola and Paola Arias Household $100 Donation 12/31/2024
:--","001Ox00001aExNMIA0"
"001Ox00001aExNNIA0","DELETE_FAILED:Your attempt to delete Christopher and Christopher Hogerty Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Christopher Hogerty Household $150 Donation 12/31/2024, Christopher and Christopher Hogerty Household $150 Donation 12/31/2024
:--","001Ox00001aExNNIA0"
"001Ox00001aExNOIA0","DELETE_FAILED:Your attempt to delete Beth and Beth Diamond Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Beth Diamond Household $100 Donation 12/31/2024, Beth and Beth Diamond Household $100 Donation 12/31/2024
:--","001Ox00001aExNOIA0"
"001Ox00001aExNPIA0","DELETE_FAILED:Your attempt to delete Cheryl and Cheryl Taruc Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Cheryl Taruc Household $150 Donation 12/31/2023, Cheryl and Cheryl Taruc Household $150 Donation 12/31/2023
:--","001Ox00001aExNPIA0"
"001Ox00001aExNQIA0","DELETE_FAILED:Your attempt to delete Diana and Diana Hamar Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Diana Hamar Household $100 Donation 12/31/2023, Diana Hamar Household $100 Donation 12/31/2022, Diana and Diana Hamar Household $100 Donation 12/31/2023, Diana and Diana Hamar Household $100 Donation 12/31/2022
:--","001Ox00001aExNQIA0"
"001Ox00001aExNRIA0","DELETE_FAILED:Your attempt to delete Ivy and Ivy Barnwell Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Ivy Barnwell Household $100 Donation 12/31/2023, Ivy and Ivy Barnwell Household $100 Donation 12/31/2023
:--","001Ox00001aExNRIA0"
"001Ox00001aExNiIAK","DELETE_FAILED:Your attempt to delete Rosevelie and Rosevelie Morales Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Rosevelie Morales Household $200 Donation 12/31/2022, Rosevelie and Rosevelie Morales Household $200 Donation 12/31/2022
:--","001Ox00001aExNiIAK"
"001Ox00001aExNkIAK","DELETE_FAILED:Your attempt to delete Abdul and Abdul Rad Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Abdul Rad Household $100 Donation 12/31/2022, Abdul and Abdul Rad Household $100 Donation 12/31/2022
:--","001Ox00001aExNkIAK"
"001Ox00001aExNmIAK","DELETE_FAILED:Your attempt to delete Adam and Adam Colon Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Adam Colon Household $200 Donation 12/31/2022, Adam Colon Household $150 Donation 12/31/2021, Adam and Adam Colon Household $200 Donation 12/31/2022, Adam and Adam Colon Household $150 Donation 12/31/2021
:--","001Ox00001aExNmIAK"
"001Ox00001aExNnIAK","DELETE_FAILED:Your attempt to delete Adriana and Adriana Londono Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Adriana Londono Household $100 Donation 12/31/2022, Adriana and Adriana Londono Household $100 Donation 12/31/2022
:--","001Ox00001aExNnIAK"
"001Ox00001aExNoIAK","DELETE_FAILED:Your attempt to delete Albert and Albert Barrueco Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Albert Barrueco Household $200 Donation 12/31/2022, Albert and Albert Barrueco Household $200 Donation 12/31/2022
:--","001Ox00001aExNoIAK"
"001Ox00001aExNqIAK","DELETE_FAILED:Your attempt to delete Alfred and Alfred Ojukwu Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Alfred Ojukwu Household $150 Donation 12/31/2022, Alfred and Alfred Ojukwu Household $150 Donation 12/31/2022
:--","001Ox00001aExNqIAK"
"001Ox00001aExNrIAK","DELETE_FAILED:Your attempt to delete Alison and Alison Formidoni Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Alison Formidoni Household $200 Donation 12/31/2022, Alison and Alison Formidoni Household $200 Donation 12/31/2022
:--","001Ox00001aExNrIAK"
"001Ox00001aExNtIAK","DELETE_FAILED:Your attempt to delete Alizanette and Alizanette Rodriguez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Alizanette Rodriguez Household $200 Donation 12/31/2022, Alizanette and Alizanette Rodriguez Household $200 Donation 12/31/2022
:--","001Ox00001aExNtIAK"
"001Ox00001aExNuIAK","DELETE_FAILED:Your attempt to delete Amanda and Amanda Clarke Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Amanda Clarke Household $150 Donation 12/31/2022, Amanda and Amanda Clarke Household $150 Donation 12/31/2022
:--","001Ox00001aExNuIAK"
"001Ox00001aExNxIAK","DELETE_FAILED:Your attempt to delete Ana Maria and Ana Maria Tejada Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Ana Maria Tejada Household $200 Donation 12/31/2022, Ana Maria and Ana Maria Tejada Household $200 Donation 12/31/2022
:--","001Ox00001aExNxIAK"
"001Ox00001aExOCIA0","DELETE_FAILED:Your attempt to delete Brandon and Brandon Clark Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Brandon Clark Household $163 Donation 12/31/2022, Brandon and Brandon Clark Household $163 Donation 12/31/2022
:--","001Ox00001aExOCIA0"
"001Ox00001aExOHIA0","DELETE_FAILED:Your attempt to delete Carolina and Carolina Walther-Meade Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Carolina Walther-Meade Household $200 Donation 12/31/2022, Carolina and Carolina Walther-Meade Household $200 Donation 12/31/2022
:--","001Ox00001aExOHIA0"
"001Ox00001aExOJIA0","DELETE_FAILED:Your attempt to delete Chadwick and Chadwick Devlin Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Chadwick Devlin Household $100 Donation 12/31/2022, Chadwick and Chadwick Devlin Household $100 Donation 12/31/2022
:--","001Ox00001aExOJIA0"
"001Ox00001aExOPIA0","DELETE_FAILED:Your attempt to delete Cielo and Cielo Nieves Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Cielo Nieves Household $150 Donation 12/31/2021, Cielo and Cielo Nieves Household $150 Donation 12/31/2021
:--","001Ox00001aExOPIA0"
"001Ox00001aExOVIA0","DELETE_FAILED:Your attempt to delete David and David Guzman Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: David Guzman Household $150 Donation 12/31/2021, David and David Guzman Household $150 Donation 12/31/2021
:--","001Ox00001aExOVIA0"
"001Ox00001aExOYIA0","DELETE_FAILED:Your attempt to delete Dilip and Dilip Kumar Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Dilip Kumar Household $150 Donation 12/31/2021, Dilip and Dilip Kumar Household $150 Donation 12/31/2021
:--","001Ox00001aExOYIA0"
"001Ox00001aExObIAK","DELETE_FAILED:Your attempt to delete Dorie and Dorie Gladney Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Dorie Gladney Household $150 Donation 12/31/2022, Dorie and Dorie Gladney Household $150 Donation 12/31/2022
:--","001Ox00001aExObIAK"
"001Ox00001aExOdIAK","DELETE_FAILED:Your attempt to delete Edelweis and Edelweis Avalos Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Edelweis Avalos Household $200 Donation 12/31/2022, Edelweis and Edelweis Avalos Household $200 Donation 12/31/2022
:--","001Ox00001aExOdIAK"
"001Ox00001aExOhIAK","DELETE_FAILED:Your attempt to delete Ezana and Ezana Tadese Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Ezana Tadese Household $150 Donation 12/31/2022, Ezana and Ezana Tadese Household $150 Donation 12/31/2022
:--","001Ox00001aExOhIAK"
"001Ox00001aExOmIAK","DELETE_FAILED:Your attempt to delete Frank and Frank Palma Gomez Household could not be completed because some opportunities in that account were closed won. The opportunities that could not be deleted are shown below.: Frank Palma Gomez Household $100 Donation 12/31/2022, Frank and Frank Palma Gomez Household $100 Donation 12/31/2022
:--","001Ox00001aExOmIAK"
