Opportunity_External_ID__c,Name,AccountId,StageName,CloseDate,Amount,Description
theslomoandcindysilvianfoundation_opty,The Slomo and Cindy Silvian Foundation Grant Application,001Ox00001b7FnwIAE,Prospecting,2026-09-04,25000,"Grant range: $25,000"
ccnsf_opty,CCNSF Grant Application,001Ox00001V7FlBIAV,Closed Lost,2026-10-17,45000,"Grant range: $45,000"
unidosuspionerasenstem_opty,UnidosUS – Pioneras en STEM Grant Application,001Ox00001b5sF2IAI,Prospecting,2026-12-31,,"Grant range: $20,000 (granted)"
unidosusescaleras_opty,UnidosUS – Escaleras Grant Application,001Ox00001b5sF3IAI,Prospecting,2026-12-31,,"Grant range: $40,000 (granted)"
m&tcharitablefund_opty,M&T Charitable Fund Grant Application,001Ox00001V7FlEIAV,Closed Lost,2026-10-31,,Grant range: Varies
bancopopularfoundation_opty,Banco Popular Foundation Grant Application,001Ox00001V7FlFIAV,Prospecting,2026-08-31,10000,"Grant range: $10,000"
luchalatinunitedcommunityhousingassociation_opty,LUCHA (Latin United Community Housing Association) Grant Application,001Ox00001b5sF9IAI,Prospecting,2026-12-31,,Grant range: N/A
williamtgrantfoundation-yscg_opty,William T Grant Foundation - YSCG Grant Application,001Ox00001V7FlHIAV,Prospecting,2026-12-31,60000,"Grant range: $60,000"
charlesh.stoutfoundation_opty,Charles H. Stout Foundation Grant Application,001Ox00001V7FlIIAV,Prospecting,2026-06-15,25000,"Grant range: $25,000"
footlockerfoundation_opty,Foot Locker Foundation Grant Application,001Ox00001V7FlJIAV,Prospecting,2026-09-30,25000,"Grant range: $25,000-$100,000"
lilyauchinclossfoundation–humanservicesgrant_opty,Lily Auchincloss Foundation – Human Services Grant Grant Application,001Ox00001V7Fl2IAF,Prospecting,2026-12-31,5000,"Grant range: $5,000–$25,000 (typical)"
hispanicfederation2026upliftnewyorkstate_opty,Hispanic Federation 2026 UPLift New York State Grant Application,001Ox00001V7FlMIAV,Prospecting,2026-12-31,,
newyorkcommunitytrust_opty,New York Community Trust Grant Application,001Ox00001V7FlNIAV,Prospecting,2026-02-10,,"Grant range: Varies (often $10,000–$200,000+)"
marymulligancharitabletrust_opty,Mary Mulligan Charitable Trust Grant Application,001Ox00001V7FlOIAV,Prospecting,2026-12-31,,
spectrum_opty,Spectrum Grant Application,001Ox00001V7FlPIAV,Prospecting,2026-12-31,,
viapathimpactgrant_opty,ViaPath Impact Grant Grant Application,001Ox00001V7FlQIAV,Prospecting,2026-12-31,,
2026williamtgrant-youthserviceimprovementgrant_opty,2026 William T Grant - Youth Service Improvement Grant Grant Application,001Ox00001V7FlRIAV,Prospecting,2026-04-01,,"Grant range: $25,000 each"
volger_opty,Volger Grant Application,001Ox00001V7FlSIAV,Prospecting,2026-12-31,,
frances&edwin_opty,Frances & Edwin Grant Application,001Ox00001V7FlTIAV,Prospecting,2026-12-31,,
nationalgrid_opty,National Grid Grant Application,001Ox00001V7FlUIAV,Prospecting,2026-12-31,,
thekresgefoundation_opty,The Kresge Foundation Grant Application,001Ox00001V7FlVIAV,Prospecting,2026-12-31,,Grant range: 20k-900k
mazdafoundation_opty,Mazda Foundation Grant Application,001Ox00001V7FlWIAV,Prospecting,2026-12-31,,Grant range: --
zegarfamilyfoundation_opty,Zegar Family Foundation Grant Application,001Ox00001V7FlXIAV,Prospecting,2026-12-31,,Grant range: 1k-1M
thesillsfamilyfoundation_opty,The Sills Family Foundation Grant Application,001Ox00001V7FlnIAF,Closed Lost,2026-12-31,,"Grant range: $10,000 to $25,000"
thestarrfoundation_opty,The Starr Foundation Grant Application,001Ox00001V7FlZIAV,Prospecting,2026-12-31,,Grant range: 50k
americanexpresscommunitygiving_opty,American Express Community Giving Grant Application,001Ox00001V7FlaIAF,Prospecting,2026-12-31,,Grant range: 10k
ms.foundationforwomen_opty,Ms. Foundation for Women Grant Application,001Ox00001V7FlbIAF,Prospecting,2026-12-31,,Grant range: 15k-20k
charles&lynnschustermanfamilyphilanthropies_opty,Charles & Lynn Schusterman Family Philanthropies Grant Application,001Ox00001V7FlcIAF,Prospecting,2026-12-31,,Grant range: 30k-50k
thecricketislandfoundation_opty,The Cricket Island Foundation Grant Application,001Ox00001V7FldIAF,Prospecting,2026-12-31,,Grant range: 20k-100k
voyafinancialfoundation_opty,Voya Financial Foundation Grant Application,001Ox00001V7FleIAF,Prospecting,2026-12-31,,Grant range: 100k
moody'sfoundation_opty,Moody's Foundation Grant Application,001Ox00001aKbHaIAK,Prospecting,2026-12-31,,"Grant range: Up to $300,000"
thirdwavefund(formerlythirdwavefoundation)_opty,Third Wave Fund (formerly Third Wave Foundation) Grant Application,001Ox00001V7FlgIAF,Prospecting,2026-12-31,,Grant range: May 7                               July 2nd                         Sep 3                              Oct 1
schottfoundation_opty,Schott Foundation Grant Application,001Ox00001V7FlhIAF,Prospecting,2026-12-31,,
firstniagara_opty,First Niagara Grant Application,001Ox00001V7FliIAF,Prospecting,2026-12-31,,
meringofffamilyfoundation_opty,Meringoff Family Foundation Grant Application,001Ox00001V7FljIAF,Prospecting,2026-12-31,,Grant range: Average is 45k
theclarkfoundation_opty,The Clark Foundation Grant Application,001Ox00001V7FlkIAF,Prospecting,2026-12-31,,Grant range: --
charlesr&winifredrweberfoundation_opty,Charles R & Winifred R Weber Foundation Grant Application,001Ox00001V7FllIAF,Prospecting,2026-12-31,,
jpmorganchase:thehagedornfund_opty,JPMorgan Chase: The Hagedorn Fund Grant Application,001Ox00001V7FlmIAF,Prospecting,2026-12-31,,
sillsfamilyfoundation_opty,Sills Family Foundation Grant Application,001Ox00001b5sF7IAI,Prospecting,2026-12-31,10000,"Grant range: $10,000-$25,000"
carol&geneludwigfamilyfoundation_opty,Carol & Gene Ludwig Family Foundation Grant Application,001Ox00001V7FloIAF,Prospecting,2026-12-31,,
ainsliefoundation_opty,Ainslie Foundation Grant Application,001Ox00001V7FlpIAF,Prospecting,2026-12-31,,
coachfoundation_opty,Coach Foundation Grant Application,001Ox00001V7FlqIAF,Prospecting,2026-12-31,,
