Name,Location,Area of interest ,Account Information ,Documentation and Requirements ,Grant Amount,Due Date,Contact Person,Title ,Email,EIN,Application Status,Outreach,Notes,,,,,,,,URL From Name,Name Cleanup,URL from Area,URL Account Info,URL for Documentation,URL for Grant,URL for Due Date,URL for Outreach,Research_Links__c,Contact Fix,Contact 1 NameRaw,Contact2 NameRaw,Contact 3 NameRaw,Title Fix,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email Fix,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,External ID,Internal_Notes__c,Type,Relationship,,Contact 1First,Contact 1Last,Contact 2 First,Contact 2 Last,Contact 3 First,Contact 3 Last,Source_Sheet__c
Mother Cabrini Health Foundation,New York State ,"Improving health and well-being of vulnerable New Yorkers, enhancing equitable access to healthcare, supporting basic needs, strengthening the healthcare workforce, advancing mental and behavioral health, and funding projects that improve health outcomes for underserved populations across New York State.",Mother Cabrini Health Portal,"- Must be a domestic 501(c)(3) public charity or exempt operating foundation in good standing with the IRS and NYS. - Must primarily serve New York State residents and benefit poor, disadvantaged, or underserved communities. - Applicant organizations should generally have an annual operating budget of at least $750,000 (per typical guidelines). - Projects must align with the Foundation's mission and meet one of the focus areas and demonstrate capacity to effectively carry out proposed programming. - Non-Catholic organizations are eligible; Catholic ethical principles guide funding but affiliation is not required.","$75,000+",2026 TBD,,,grantsupport@cabrinihealth.org,83-0590263,Submitted 4/23/2026,,,,,,,,,,https://www.cabrinihealth.org/grants-programs/#apply-grant,Mother Cabrini Health Foundation,,https://cabrinihealth.smartsimple.us/s_Login.jsp,,,,,https://cabrinihealth.smartsimple.us/s_Login.jsp,,,,,,,,,grantsupport@cabrinihealth.org,grantsupport@cabrinihealth.org,,,mothercabrinihealthfoundation,,Foundation,Funder,,,,,,,,Foundation Grantors
Brooklyn Org,New York City and Hudson Valley,"Youth, education, mental health, girls of color",Brooklyn Org Portal,"- Be incorporated as a 501(c)3 nonprofit organization or be working under the auspices of an authorized fiscal sponsor  - Have a minimum annual budget of $100,000. Grant awards will not exceed 20% of the applying organization's annual budget  - Have a regular physical presence in Brooklyn. All non-Brooklyn-based organizations must apply for support for their relevant Brooklyn-based work",,"  September 30th",,,programs@brooklyn.org,11-3422729,Submitted 4/23/2026,,,,,,,,,,https://brooklyn.org/how-to-apply-for-bko-funding/,Brooklyn Org,,https://www.grantinterface.com/Home/Logon?urlkey=brooklyncf,,,,,https://www.grantinterface.com/Home/Logon?urlkey=brooklyncf,,,,,,,,,programs@brooklyn.org,programs@brooklyn.org,,,brooklynorg,,Foundation,Funder,,,,,,,,Foundation Grantors
NBCUniveral Local Impact Grant,All cities in NBC/Telemundo markets,"Youth education/empowerment, next generation storytellers, amd community engagement",NBCUniversal Portal,"- Must be an active 501(c)(3) nonprofit (EIN active for at least one year) or a fiscally sponsored organization (apply through fiscal sponsor) - Must have been in operation for at least one year - Revenue must exceed $100,000; total expenses must be between $100,000 and $1,000,000 - Grant request cannot exceed 30% of total expenses - Must align with one of three focus areas: Youth Education and Empowerment, Next Generation Storytellers, or Community Engagement - Ineligible if the organization received $10,000+ annually from Comcast NBCUniversal, NBC/Telemundo-owned stations, or related entities in any of the past three years Only one application allowed per Tax ID across all marke",No more than 30% of reported expenses,"April 24, 2026",,,,51-0390132,Submitted 4/24/2026,,,,,,,,,,https://www.localimpactgrants.com/,NBCUniveral Local Impact Grant,,https://bbgm-apply.yourcausegrants.com/apply/application/2333439/forms/13536,,,,,https://bbgm-apply.yourcausegrants.com/apply/application/2333439/forms/13536,,,,,,,,,,,,,nbcuniverallocalimpactgrant,,Foundation,Funder,,,,,,,,Foundation Grantors
Lawrence Foundation,United States,"Environmental protection and conservation, human services including disaster relief, and other causes aligned with improving societal and ecological well-being.",Lawrence Application,"Be tax-exempt under Section 501(c)(3) of the Internal Revenue Service Code or have a fiscal sponsor that has 501(c)(3) status and provides written authorization confirming its willingness to act as the fiscal sponsor.  Engage in work that aligns with the Foundation's funding interests and priorities. ","$5,000 - $10,000",April 30; October 31.,Lori Mitchell,Executive Director, lori@thelawrencefoundation.org,,Submitted 4/30/2026,,,Deadline,,,,,,,https://thelawrencefoundation.org/application-process,Lawrence Foundation,,https://www.commongrantapplication.com/login.php?new=1,,,,,https://www.commongrantapplication.com/login.php?new=1,Lori Mitchell,Lori Mitchell,,,Executive Director,Executive Director,,,lori@thelawrencefoundation.org,lori@thelawrencefoundation.org,,,lawrencefoundation,,Foundation,Funder,,Lori,Mitchell,,,,,Foundation Grantors
Acquis Foundation,New York City,"Education, workforce training, and DOI",RFP,"Applicants must be registered 501(c)(3) nonprofit organizations.  Must be an established organization with a new idea, or an organization with existing infrastructure (not a grass roots organization).  Alignment with Acquis Foundation's mission and values.  Organizations do not need to be headquartered in NYC, but their work must impact New York area communities.  Applicants must consent to being featured on the Acquis Foundation's website, social media channels, and other publicly accessible platforms.",June 11,"$46,142",,,acquis@acquisconsulting.com,87-1501756,Submitted 4/30/2026,,,,,,,,,,https://www.acquisconsulting.com/landing/foundation-rfp/,Acquis Foundation,,https://www.acquisconsulting.com/landing/foundation-rfp/,,,,,https://www.acquisconsulting.com/landing/foundation-rfp/,,,,,,,,,acquis@acquisconsulting.com,acquis@acquisconsulting.com,,,acquisfoundation,,Foundation,Funder,,,,,,,,Foundation Grantors
The Slomo & Cindy Siivian Foundation,"New York, New Jersey, and North Carolina","The Foundation makes grants to organizations that operate in one or more of the following subject areas: Education, Children's Welfare, Medical Care, Medical Research, and Jewish Philanthropic Endeavors.",Portal,"501(c)(3) status with a public charity classification under IRC 509(a)(1) or 509(a)(2).Direct US IRS registration if operating as a foreign organization, as fiscal sponsors are not allowed.  Core alignment with education, children's welfare, medical care, medical research, or Jewish philanthropy.  Geographic presence located in or serving New York, New Jersey, or North Carolina.  IRS Form 990 or 990EZ successfully filed with the IRS within the past two calendar years.  Combined financial statement containing both a Balance Sheet and Income/Expense Statement if no 990 is available.English language and US dollar formatting on all uploaded alternative financial documents.  Single-document upload format for any alternative financial statements submitted to the portal.","$20,000",6/1/2026,"Daniel Komansky, David Grossman","President and Chairman of the Board of Directors, Treasurer and Board Member ","dkomansky@silvianfoundation.org, ",34-2037021,Submitted 5/15,,"Expect to hear back with decision July 7, 2026",,,,,,,,https://silvianfoundation.org/,The Slomo & Cindy Siivian Foundation,,https://www.grantinterface.com/Opportunity/Catalog/Index?urlKey=silvianfoundation&accessCode=ASD2026LOI,,,,,https://www.grantinterface.com/Opportunity/Catalog/Index?urlKey=silvianfoundation&accessCode=ASD2026LOI,Daniel Komansky; David Grossman,Daniel Komansky, David Grossman,,President and Chairman of the Board of Directors; Treasurer and Board Member,President and Chairman of the Board of Directors, Treasurer and Board Member,,dkomansky@silvianfoundation.org,dkomansky@silvianfoundation.org,,,theslomocindysiivianfoundation,"Expect to hear back with decision July 7, 2026",Foundation,Funder,,Daniel,Komansky,David,Grossman,,,Foundation Grantors
New Profit,United States,"Supports education, economic mobility, and democracy",Discovery Form,"Legal: 501(c)(3) or U.S.-based fiscal sponsor.  Geography: Must serve & operate in the United States.  Stage: 2+ years in operation; $250k–$2M annual budget (Catalyze) or $2M+ (Build).  Leadership: Full-time CEO/ED; preference for "Proximate Leaders" (lived experience).","$110,000 (100k for organization; 10k for leadership development)",May 26,Danielle May,Director of Planning & Grants Management,danielle_may@newprofit.org,04-3396766,Submitted 5/22/2026,,,,,,,,,,,New Profit,,https://newprofit.tfaforms.net/18,,,,,https://newprofit.tfaforms.net/18,Danielle May,Danielle May,,,Director of Planning; Grants Management,Director of Planning, Grants Management,,danielle_may@newprofit.org,danielle_may@newprofit.org,,,newprofit,,Foundation,Funder,,Danielle,May,,,,,Foundation Grantors
Tiger Foundation,Five boroughs of New York City,"Youth organizing, education equity, mental health",Tiger Foundation Portal,"The Tiger Foundation seeks:  - Strong and consistent measurable outcomes over time  - Skilled executive, program, and board leadership  - Cost-effectiveness  - Financial health and skilled fiscal management  - Opportunity for broad impact (replicability, scale, and leverage of public and other private investment)  - Efforts to engage clients and local community and to develop and refine models that are reflective of community needs  - Applicants must be exempt from income taxes under section 501(c)(3) of the Internal Revenue Code.","$50,000 - $300,000 (Average $200,000)",Rolling,,,info@tigerfoundation.org,13-3532729,Submitted 5/26/2026,,,,,,,,,,https://tigerfoundation.org/funding-guidelines,Tiger Foundation,,https://rftf.givingdata.com/portal/campaign/TigerFoundationLOI?panelMode=signIn,,,,,https://rftf.givingdata.com/portal/campaign/TigerFoundationLOI?panelMode=signIn,,,,,,,,,info@tigerfoundation.org,info@tigerfoundation.org,,,tigerfoundation,,Foundation,Funder,,,,,,,,Foundation Grantors
Sills Family Foundation,metro New York City and California,"Early childhood education, environmental justice, arts and culture, families in crisis, criminal justice-impacted communities, refugees and migrants","No Application Posted, encourage to email: info@sillsfamilyfoundation.org","Must be a qualified 501(c)(3) nonprofit or equivalent.  Work must align with the foundation's funding priorities: families in crisis, underserved communities, environmental justice, or arts and culture.  Grants are typically by invitation, though Letters of Inquiry may be submitted for consideration.","$10,000 to $25,000",N/A,Run enitrely by board of family members who have little to no public presence,N/A,info@sillsfamilyfoundation.org,52-1790278,LOI Submitted,,LOI Submitted 4/21,,,,,,,,https://sillsfamilyfoundation.org/guidelines/,Sills Family Foundation,,,,,,,,Run enitrely by board of family members who have little to no public presence,Run enitrely by board of family members who have little to no public presence,,,N/A,N/A,,,info@sillsfamilyfoundation.org,info@sillsfamilyfoundation.org,,,sillsfamilyfoundation,LOI Submitted 4/21,Foundation,Funder,,Run,enitrely by board of family members who have little to no public presence,,,,,Foundation Grantors
Robin Hood Foundation,New York City (five boroughs only),"Poverty, youth development, education, mental health",Robinhood Grant Application,"Organizations must: - Serve populations and operate within the five buroughs - Not currently be recieving support from Robinhood - Align with Robin Hood's life-stage approach (early childhood, school-age, young adults, adults & household supports) - A proven track record of being able to meet the needs of their population - High quality staff","$100,000 - $1,600,000",Open year-round,,,Info@robinhood.org,13-3441066,Submitted 4/10/2026,,,,,,,,,,https://robinhood.org/our-work/become-grantee/,Robin Hood Foundation,,https://forms.robinhood.org/4718627?_gl=1*gywq7p*_gcl_au*NDI3NzUxNzAwLjE3NzAxNDM3NjI.,,,,,https://forms.robinhood.org/4718627?_gl=1*gywq7p*_gcl_au*NDI3NzUxNzAwLjE3NzAxNDM3NjI.,,,,,,,,,Info@robinhood.org,Info@robinhood.org,,,robinhoodfoundation,,Foundation,Funder,,,,,,,,Foundation Grantors
Kars4Kids,United States,"Supporting educational initiatives, youth development, mentorship, and community programs for children and young people that help them grow into productive, engaged members of their communities.",Kars4Kids Application,"Applicant must be a U.S.-based, IRS-recognized 501(c)(3) nonprofit organization.  The nonprofit's primary mission should be serving children/youth with meaningful educational or developmental programs.  Programs should align with educational support, youth development, mentorship, or community empowerment initiatives.  The organization must operate with a secular, non-religious programmatic focus for this grant program.","$500 to $2,000",Open year-round,,,kars4kidscs@kars4kids.org,22-3746050,Submitted  ,,Rolling,,,,,,,,https://www.kars4kidsgrants.org/#apply,Kars4Kids,,https://www.kars4kidsgrants.org/#apply,,,,,https://www.kars4kidsgrants.org/#apply,,,,,,,,,kars4kidscs@kars4kids.org,kars4kidscs@kars4kids.org,,,kars4kids,Rolling,Foundation,Funder,,,,,,,,Foundation Grantors
First Horizon Foundation ,New York City,"Community well-being, financial education, economic opportunity, workforce development, education and leadership development, arts and culture, environmental sustainability.",First Horizon Application,"- Tax info (ID/EIN, Form 990, 501(c)3 letter) - Basic info about organization (Name, type, mission statement, puropse, phone #, website, address, board of directors) - Info on community served (Age groups, ethnicity, SEC, etc). - Any prior relationship with the organization - Impact focus/areas - What the funds will be used for","$5,000 to $25,000",Rolling ,Abbey Lane,,abbey.lane@firsthorizon.com,62-1533987,In Progress,,Rolling,,,,,,,,https://firsthorizon.kadince.com/external/forms/c8daa6735c1ce25bb7d964156575deed,First Horizon Foundation,,https://firsthorizon.kadince.com/external/forms/c8daa6735c1ce25bb7d964156575deed,,,,,https://firsthorizon.kadince.com/external/forms/c8daa6735c1ce25bb7d964156575deed,Abbey Lane,Abbey Lane,,,,,,,abbey.lane@firsthorizon.com,abbey.lane@firsthorizon.com,,,firsthorizonfoundation,Rolling,Foundation,Funder,,Abbey,Lane,,,,,Foundation Grantors
Ichigo Foundation,New York City and California,"College access, educational equity, first-generation student success, career readiness, economic mobility, youth development.",Ichigo LOI,"- U.S.-based 501(c)(3) nonprofits - Focused on college access and postsecondary success - Serving first-generation, low-income, and historically underserved students - Demonstrating measurable educational and career outcomes - Working in educational equity, workforce development, or youth leadership - Serving students of color, immigrant communities, or justice-impacted populations - Operating scalable or high-impact programs","$25,000-$250,000",Rolling,Janel Callon,President,Janel.Callon@ichigofoundation.org,83-3528175,In Progress,,,,,,,,,,https://app.trytemelio.com/form/bf5e5e55-bff0-434c-bd95-c1523c0524ea,Ichigo Foundation,,https://app.trytemelio.com/form/bf5e5e55-bff0-434c-bd95-c1523c0524ea,,,,,https://app.trytemelio.com/form/bf5e5e55-bff0-434c-bd95-c1523c0524ea,Janel Callon,Janel Callon,,,President,President,,,Janel.Callon@ichigofoundation.org,Janel.Callon@ichigofoundation.org,,,ichigofoundation,,Foundation,Funder,,Janel,Callon,,,,,Foundation Grantors
Arbor Rising,United States,"Education, workforce development, youth development, economic mobility, poverty alleviation, capacity building.",Arbor LOI,"- Have 501(c)(3) status or be fiscally sponsored by a 501(c)(3) organization - Be based in and operate within the lower 48 states - Have operated as an organization for at least 2 years, but no more than 15 years - Have at least four full-time, paid staff members - Have an annual operating budget of more than $500,000 and less than $3,000,000  Exceptions are made for: - Organizations less than five years old with budgets exceeding $3,000,000; and - Schools and school networks with overall budgets up to $30,000,000 that are launching or growing programs which advance student outcomes","$125,000",June 9,Domique ,Senior Associate,dominique@arborrising.org,27-4205023,In Progress,"- Email sent 5/21 - Response: Thank you for reaching out. I'm pleased to virtually meet you. Arbor Rising is now accepting applications for the 2026-27 grant year. Unfortunately, due to the volume of applicants, we are not accepting meetings at this time. Instead, I invite you to take a look at our website to learn more about the opportunity, eligibility requirements, and application process. If this opportunity seems aligned with L.O.V.E.'s priorities, then I encourage you to complete a Letter of Inquiry no later than June 9, 5 PM Eastern.",,,,,,,,,,,,https://app.trytemelio.com/form/bf5e5e55-bff0-434c-bd95-c1523c0524ea,,,,,https://app.trytemelio.com/form/bf5e5e55-bff0-434c-bd95-c1523c0524ea,Domique,Domique,,,Senior Associate,Senior Associate,,,dominique@arborrising.org,dominique@arborrising.org,,,,"- Email sent 5/21 - Response: Thank you for reaching out. I'm pleased to virtually meet you. Arbor Rising is now accepting applications for the 2026-27 grant year. Unfortunately, due to the volume of applicants, we are not accepting meetings at this time. Instead, I invite you to take a look at our website to learn more about the opportunity, eligibility requirements, and application process. If this opportunity seems aligned with L.O.V.E.'s priorities, then I encourage you to complete a Letter of Inquiry no later than June 9, 5 PM Eastern."
Resort World Gives,New York City,"Community & economic development, health & wellness, arts & culture, civic & public affairs, environment.",Resort World Portal,"Eligibility:  - Be a registered 501c3 or 501c6, or be fiscally sponsored by a 501c3 or 501c6 - During the application process, you will be asked to upload your determination letter. - Provides services within one or more of Resorts World Gives' key pillars: - Community & Economic Development - Health & Wellness - Environment - Civic & Public Affairs - Arts & Culture - Provides services within one or more of the regions where RWNYC and RWC operate. - Does not discriminate, either in employment or its delivery of services, on any basis prohibited by law or Resorts Worlds' Equal - Employment Opportunity policies.  Application Materials:  - Project description / Needs statement - Project budget - Project timeline - Letter of Support (Required) - This may come from a partner organization, another donor, a congressional representative, or an impacted individual. The letter should serve as a testimonial to your organization's prior work - Explanation of how Resorts World Gives partnership would be marketed","$50,000",November 1,Michelle Stoddart,Community Development Leader,michelle.stoddart@rwnewyork.com,27-3513153,In Progress,,,,,,,,,,,,,https://resortsworld.submittable.com/submit/338069/funding-request-2026,,,,,,Michelle Stoddart,Michelle Stoddart,,,Community Development Leader,Community Development Leader,,,michelle.stoddart@rwnewyork.com,michelle.stoddart@rwnewyork.com
Forest Hills Stadium Community Fund,Forest Hills and the greater Queens area,"Education, health, culture, neighborhood beautification, and economic development",Forest Hills Application,"To apply, applicants must:  -Be a registered 501(c)(3) or a local school  -Demonstrate a clear public benefit  -Serve the Forest Hills area or greater Queens community  -Submit a completed application via our online portal or email","Tier 1: up to $5000 Tier 2: $5000 - $10,000 Tier 3: $10,000 - $15,000",Rolling,Alexa Arrechi,Vice President,Alexa@lemmastrategies.com,26-4164715,In Progress,,,,,,,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSfN04-OLmr0PErxzvhKSl6hpGSBeUS9BmSlIq-NDzXIJxtjiw/viewform,,,,,,Alexa Arrechi,Alexa Arrechi,,,Vice President,Vice President,,,Alexa@lemmastrategies.com,Alexa@lemmastrategies.com
