Account_External_ID__c,Name,RecordTypeId,Geographic_Scope__c,Area_of_Interest__c,Account_Information__c,Documentation_Requirements__c,Grant_Amount_Text__c,Due_Date_Text__c,TAX_ID_NUMBER__c,Submission_Status__c,Outreach_Status__c,Internal_Notes__c,Research_Links__c,Relationship__c,Type
nycserviceyouthleadershipcouncil,NYC Service Youth Leadership Council,012f2000000ww92AAA,NYC,"NYC Youth Leadership Councils (YLCs) are a network of youth groups focused on policy, practice, and advocacy to make local change happen. Each YLC is a space to team up with others, share ideas, create solutions, and put those solutions into action with the support from City agencies, schools, and community organizations. NYC Service launched Youth Leadership Councils (YLCs) to bridge the gap between young people being disproportionately affected by city issues and their limited opportunities to participate in solving these problems. YLCs are creating a bolder, more just city by engaging youth to shape policies, define practices, and lead advocacy on issues affecting them and their communities. Each YLC is part of a larger network in the City that works toward improved youth/adult partnerships, solutions to city needs, and youth leadership development.",Portal,Full Application,"$1,000",April 23,,,,,https://www.canva.com/design/DAGiqNbrzwM/BpqOSHbzM7zyhOLjaMGqeQ/view?utm_content=DAGiqNbrzwM&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h7ff3779114,Funder,Foundation
l&bcharitable,L&B Charitable,012f2000000ww92AAA,NYC,"The L.B. Research and Education Foundation supports US-based nonprofit organizations, providing grants in two program areas: education and health.",Submission by email,Concept Letter then Full Application,"$20,000",April 8,,Meeting 11/14,,,https://docs.google.com/document/d/1-uhZxpx9-f32ieE7zr2tqADwUeLtb6MlZo0j5AEBeeA/edit,Funder,Foundation
anniee.caseyfoundation,Annie E. Casey Foundation,012f2000000ww92AAA,New York,"The Annie E. Casey Foundation is a private philanthropic organization dedicated to improving the well-being of children and families in the United States, especially those facing systemic barriers related to poverty and racial inequity. Founded in 1948, the Foundation focuses on creating stronger futures by promoting access to economic opportunity, advancing child welfare and juvenile justice reform, and strengthening families and communities. It is well known for its data-driven approach, including publishing the annual KIDS COUNT Data Book, which tracks child well-being across all 50 states. The Foundation invests in evidence-based solutions, community partnerships, and policy advocacy to drive large-scale, sustainable change for children, especially in underserved communities.",Portal,LOI,"$70,000",May 18,,,,,https://partners.aecf.org/app/UserHome,Funder,Foundation
levittfoundation,Levitt Foundation,012f2000000ww92AAA,,"Through our grantmaking and research, the Levitt Foundation leverages the power of free, live music to strengthen the social fabric of communities, creating places people love while amplifying local pride, activating underused public spaces and fostering more healthy, equitable, and thriving communities one city, and one concert, at a time.",,,"$2,000",,,,,,,Funder,Foundation
katespade,Kate Spade,012f2000000ww92AAA,New York,"At the Kate Spade New York Foundation, we believe that a women’s mental health is foundational to her achieving sustainable long-term empowerment. We provide women and girls with access to a spectrum of mental health resources and support in the New York City Area.",Email submission,RFP,September 19,"$45,799",,Meeting 5/14,,,,Funder,Foundation
aefoundationcommunitygrant,AE Foundation Community Grant,012f2000000ww92AAA,United States,"The AE Foundation strives to fund local programs which support teens and young adults, and the application should center around a program or project that directly supports this population’s mental health and well-being to empower authenticity and a better future for all. ",Portal,,"$15,000",June 30,,JC 6/24,,"Seperate opportunity from AEO Better World Foundation and Aerie Real Foundation, however, each takes into account whether you have received funding from the others",,Funder,Foundation
theslomoandcindysilvianfoundation,The Slomo and Cindy Silvian Foundation,012f2000000ww92AAA,New York,"​Under the leadership of President and Chief Legal Officer Daniel S. Komansky, The Slomo and Cindy Silvian Foundation has been a significant philanthropic presence since its establishment in 2008. The Foundation is dedicated to supporting organizations that operate in the areas of Education, Children’s Welfare, Medical Care, Medical Research, and Jewish Philanthropic Endeavors. In 2024, it awarded over $2.4 million in grants to more than 110 organizations, bringing its total giving to over $30.5 million since inception .​",Portal,Full Application,"$25,000",September 4,,,,,https://www.grantinterface.com/Home/Logon?urlkey=silvianfoundation,Funder,Foundation
ccnsf,CCNSF,012f2000000ww92AAA,NYC ,"The Communities of Color Nonprofit Stabilization Fund (CCNSF) is a New York City initiative established in 2015 to strengthen nonprofits led by and serving communities of color. Created through a partnership between the New York City Council and organizations such as the Hispanic Federation, Asian American Federation, Coalition for Asian American Children & Families, and the New York Urban League, the Fund provides both financial support and technical assistance to help organizations build long-term sustainability. Through competitive capacity-building grants—generally ranging from $35,000 to $45,000—CCNSF helps nonprofits enhance their infrastructure in areas like financial management, leadership development, strategic planning, evaluation, and collaborative partnerships. By investing in these critical areas, the Fund ensures that organizations serving Black, Latino, and Asian communities can stabilize, grow, and continue addressing systemic inequities across New York City.", Portal,Full Application,"$45,000",October 17th,,NG 10/1,,Sent Email,https://www.ccnsfund.org/apply,Funder,Foundation
unidosuspionerasenstem,UnidosUS – Pioneras en STEM,012f2000000ww92AAA,United States / national Latino-serving network UnidosUS+2amistades.org+2,"Increase access to STEM (science, technology, engineering, math) for young Latinas; college and career readiness amistades.org+2UnidosUS+2", Portal,Full Application,"$20,000 (granted)",Granted (per your source list),,,,,https://www.ccnsfund.org/apply,Funder,Foundation
unidosusescaleras,UnidosUS – Escaleras,012f2000000ww92AAA,United States / national Latino-serving network UnidosUS+1,"College- and career-readiness / support for under-resourced Latino youth (academic support, leadership, workforce prep) Conexión Américas+2UnidosUS+2", Portal,Full Application,"$40,000 (granted)",Granted (per your source list),,,,,https://www.ccnsfund.org/apply,Funder,Foundation
m&tcharitablefund,M&T Charitable Fund,012f2000000ww92AAA,New York ,"The M&T Charitable Foundation focuses its philanthropic efforts on strengthening communities by investing in organizations working in civic engagement and community development, arts and culture, education, health, and human services. It supports nonprofits that help revitalize neighborhoods, foster civic participation, preserve cultural institutions, expand access to high-quality health care, and provide essential human services to vulnerable populations. In addition to core program grants, the Foundation also deploys supplemental resources (such as the “Amplify Fund”) aimed at advancing equity, financial inclusion, and opportunity in underserved and underrepresented communities.",Portal,Full Application,Varies,October 31st,,NG 9/29,,Sent Email to see eligibility | 917-763-9442,,Funder,Foundation
bancopopularfoundation,Banco Popular Foundation,012f2000000ww92AAA,NYC,"The Fundación Banco Popular focuses its philanthropic efforts on strengthening education, especially excellence and inclusion, and advancing community development as a transformative tool for social and economic well-being. It champions musical talent development, supports student access through scholarships and academic awards, promotes collaboration and social innovation via its Social Investment Program and coworking initiatives, and takes swift emergency response action in times of crisis—all guided by values like learning, integrity, impact, innovation, and collaboration",Portal,Full Application,"$10,000","August 31st, 2025",,,,,https://popular.fluxx.io/,Funder,Foundation
luchalatinunitedcommunityhousingassociation,LUCHA (Latin United Community Housing Association),012f2000000ww92AAA,"1116 N. Kedzie Ave, Chicago, IL 60651",Affordable housing development; tenants’ rights advocacy; HUD-approved housing counseling; community programming for Latino/Spanish-speaking communities in Chicago,No public grantmaking program; inquire via contact form or email for partnerships/sponsorships,Not applicable (no grant program listed),N/A,N/A,,Intro email proposing a partnership (LOVE mentoring for Latinx youth at LUCHA sites/schools); request a brief call to explore programming alignment,,"Phone: 773-276-5338. Use contact form for general inquiries. Focus areas align with housing, health, and community stability; partnership more likely than a grant.",,Prospect,Foundation
williamtgrantfoundation-yscg,William T Grant Foundation - YSCG,012f2000000ww92AAA,New York,The Youth Service Capacity-Building Grants (YSCG) program supports activities to strengthen the organizational infrastructure of small nonprofit organizations in the five boroughs of New York City that provide direct services to young people ages 5 to 25.,Portal,Full Application,"$60,000",Sept. 30,,,,,,Prospect,Foundation
charlesh.stoutfoundation,Charles H. Stout Foundation,012f2000000ww92AAA,USA,"Grants of the Foundation are made to organizations operated exclusively for charitable, scientific, literary, educational or religious purposes or for the prevention of child abuse and cruelty to animals.",Portal,,"$25,000",June 15,,JC 6/9,,,https://www.chstoutfoundation.org/,Prospect,Foundation
footlockerfoundation,Foot Locker Foundation,012f2000000ww92AAA,NYC ,"LISC and Foot Locker, Inc., through the Foot Locker Foundation, are launching a fifth round of grants for the Foot Locker Foundation Community Empowerment Program, which funds nonprofit community organizations that connect youth to mentorship, education, career development, and health services.",Portal,Full Application,"$25,000-$100,000",September 30,,,,,https://lisc.tfaforms.net/wf/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ3b3JrZmxvd1Nlc3Npb25JZCI6IjNjZmFiZDlmLWE2MDEtNDQwZC1hNzNmLTZjZWYzZjliN2RkZSIsIm5vbmNlIjoiYWFDTUZydzFYSXIybWNBRDdvTlNjbUJxNjRVRUZ4akIlM0FhM2NhYzVmZDNhMWQxOGEyNGQ0YzRkYjE5N2I0ZWU4ZSIsImV4c,Prospect,Foundation
compass(26026p0003),COMPASS (26026P0003),012f2000000ww92AAA,Manhattan — Competition Pool 03(P.S. 140 + 4 LES sites),COMPASS: School-day health & mentoring / SONYC (MS),https://passport.cityofnewyork.us/print.aspx/en/rfp/proposal_manage/-/-/232590?rfp_id=33111&modal=true Compass Manhattan-03,"Org chart, job descriptions, site budgets, community partnership agreements, DYCD compliance forms (LL34, Iran Divestment, Tax Affirmation, etc.) (uploaded to Documents Submission). Compass Manhattan-03-ocr","$126,183.20(260 slots × $485.32) — per-participant baseline $485.32 used. (Per-site details in Notes.) COMPASS Manhattan - 07-ocr",11/24/2025,,,,"Per-site math: P.S.140 60→$29,119.20; Tompkins Sq 50→$24,266.00; Univ Neighborhood 50→$24,266.00; School for Global Leaders 50→$24,266.00; P.S.188 50→$24,266.00. Sum = $126,183.20 (uses DYCD FY-2027 per-participant baseline $485.32). Compass Manhattan-03-ocr",,Prospect,Foundation
lilyauchinclossfoundation–humanservicesgrant,Lily Auchincloss Foundation – Human Services Grant,012f2000000ww92AAA,New York City,"The foundation supports art, preservation, and community programs that enrich the lives of NYC residents, with a Human Services cycle focused on prevention, education, and quality-of-life improvement.",Portal,Letter of Inquiry / Full Application,"$5,000–$25,000 (typical)",Jan. 1,,Not submitted,,,,Prospect,Foundation
hispanicfederation2026upliftnewyorkstate,Hispanic Federation 2026 UPLift New York State,012f2000000ww92AAA,New York,"Hispanic Federation (HF) is issuing a Request for Proposals (RFP) to member agencies and allies for the
implementation of a targeted campaign to provide health access and literacy, economic empowerment
programming, and basic needs services to New York’s communities of color, particularly
bilingual/bicultural communities.",Portal ,Full Application,,Feb 6,,"scheduled: introductory emails to be sent out on January 20, 2026",,"- ensure we attend community briefing on Monday, January 26, from 1-2 pm, as well as reaching out to Claudias point of contact.  also, can apply to RFP under 1 out of 3 different areas, we must select one. details to be included in draft application. ",,Prospect,Foundation
newyorkcommunitytrust,New York Community Trust,012f2000000ww92AAA,New York City,"The Trust funds nonprofits addressing critical community needs, including youth development, education, mental health, housing, and community well-being; rolling deadlines depending on fund category.",Portal,Full Application / Proposal,"Varies (often $10,000–$200,000+)","Rolling | February 10, 2026",,Outreach on 1/14/2026 - introductory email by Gabriela with application awareness message. ,,,,Prospect,Foundation
marymulligancharitabletrust,Mary Mulligan Charitable Trust,012f2000000ww92AAA,New York City,,,,,,,,,,,Prospect,Foundation
spectrum,Spectrum,012f2000000ww92AAA,New York City,,,,,,,,,,,Prospect,Foundation
viapathimpactgrant,ViaPath Impact Grant,012f2000000ww92AAA,New York City,,,,,,,,,,,Prospect,Foundation
2026williamtgrant-youthserviceimprovementgrant,2026 William T Grant - Youth Service Improvement Grant,012f2000000ww92AAA,New York,"The Youth Service Improvement Grants (YSIG) program supports activities to improve the  quality of direct services for young people ages 5 to 25 in the five boroughs of New York City. The goal is to strengthen existing services by helping youth-serving nonprofit organizations address challenges or remedy problems at the point of service, where staff and youth interact.",Portal,Full Application,"$25,000 each ",April 1 | Goal to Submit by end of February/Early March,,introductory email sent to administrator on Jan 14 2026. recieved reply on January 20 with update. Thank's sent over. ,,,,Prospect,Foundation
volger,Volger,012f2000000ww92AAA,,,,,,,,,,,#ERROR!,Prospect,Foundation
frances&edwin,Frances & Edwin,012f2000000ww92AAA,,,,,,,,,,,,Prospect,Foundation
nationalgrid,National Grid,012f2000000ww92AAA,,,,,,,,,,,,Prospect,Foundation
thekresgefoundation,The Kresge Foundation,012f2000000ww92AAA,all throughout the country ,"The Kresge Foundation awards grants in the following areas: American Cities, Arts & Culture, Detroit, Education, Environment, Health, Human Services and Social Investment Practice",Link to Grant Application - Need to create an account ,invite only-LOI,20k-900k,no current applications,,Nicole Outreach: 8/20                   Followed up: 10/1,,Created a new account,"https://kresge.fluxx.io/user_sessions/new
https://kresge.org/grants-social-investments/how-to-apply/",Prospect,Foundation
mazdafoundation,Mazda Foundation,012f2000000ww92AAA,"The Mazda Foundation primarily considers grant applications from organizations located in markets where Mazda has offices (Irvine, CA; Bridgewater, NJ; Chicago, IL; Sugarland, TX; Jacksonville, FL; and Huntsville, AL).","Supports programs designed to promete education and literacy envitomental conservation, cross-cultural undestanding social welfare, and scientific research. ",Link to Guidelines ,Grant applications are by invitation only; there is no open application period. ,--,-- ,,Response Received: Meeting Scheduled,,"ML outreach 11/24: says to reach back out next year, cal reminder set for March. ML followed up on 3/24",https://www.mazdafoundation.org/grant-guidelines/,Prospect,Foundation
zegarfamilyfoundation,Zegar Family Foundation,012f2000000ww92AAA,New York,"- Education – Supporting educational institutions, primarily in the higher educational area and providing college access and success for the less advantaged students who desire to attend them.                                                                                                              - Human Services and Economic Opportunity – Helping disadvantage people help themselves through opportunities for economic growth and/or personal development.",Link to Guidelines ,Invitation only proposal ,1k-1M,--,,"Response received : Grant proposals are by invitation only and we currently do not accept unsolicited grant proposals. Therefore, we will not be responding to applications for funding from the Foundation, informational materials about new organizations or",,,"https://sites.google.com/zegarff.org/zegarfamily/
https://mail.google.com/mail/u/0/#inbox/FMfcgzQVzFbDqKMPtqZznGrXTxrJzNWS",Prospect,Foundation
thesillsfamilyfoundation,The Sills Family Foundation,012f2000000ww92AAA,"New York, California","The Sills Family Foundation funds nonprofits that support early childhood education, environmental justice, arts and culture, and families in crisis, with a focus on families and communities impacted by the criminal justice justice system as well as refugees, migrants and asylees.",Portal,please send a brief description of the project and contact information where we can learn more. Please limit your description to one page. Send to: info@sillsfamilyfoundation.org.,"$10,000 to $25,000",Rolling,,NG 10/28,,,https://sillsfamilyfoundation.org/guidelines/,Prospect,Foundation
thestarrfoundation,The Starr Foundation,012f2000000ww92AAA,New York,"Education: Traditionally education has been one of the largest areas of giving for the Foundation, because of Mr. Starr’s personal interest in providing scholarships to deserving students. The Foundation has endowed C.V. Starr Scholarship Funds at more than 100 colleges and universities and selected secondary schools.",No application available,"
Invite-only",50k,rolling,,reached out on Linkedin - 10/2                                                  ML: 11/20  Nick 4/21; NG 10/28,,,,Prospect,Foundation
americanexpresscommunitygiving,American Express Community Giving,012f2000000ww92AAA,all over the U.S,"Programs that provide skills and pathways to prepare youth (ages 13 to 30) for long-term success and the future of work, including the green economy, digital futures, and STEAM fields such as science, technology, engineering, the arts and mathematics.
Programs may include school-based, college, trade school, public service or workforce-related training or mentoring to support skill-building, education, the transition to meaningful employment or self-sufficiency for underrepresented populations.
Advocacy to support education and workforce development in underrepresented communities
Eligible organizations for underrepresented communities include those supporting racial, ethnic, and Indigenous minorities, women, refugees, incarcerated or formerly incarcerated, unhoused and formerly unhoused people, veterans or families of veterans, disadvantaged or people with disabilities, and members of the LGBTQ+ community.",Link to Application Guidelines ,"Invite only - Please feel free to share your business contact, organizational objective and website by sending an email to communitygiving@aexp.com, and our team will contact you if we would like to engage further. Each year between November and January, we will review information submitted by non-profit organizations and may approach or seek further information from organizations that align with our priorities.",10k,rolling,,Nick 4/21; NG 10/28,,,https://www.americanexpress.com/en-us/company/corporate-sustainability/community-impact/apply-grant/,Prospect,Foundation
ms.foundationforwomen,Ms. Foundation for Women,012f2000000ww92AAA,United States  ,"Building women’s collective power to realize a nation of justice for all. Works on issues of reproductive health, child sexual abuse prevention, affordable childcare and quality childcare jobs.",Currently they do not have any open grants ,"If your organization is interested in a grant from the Ms. Foundation, you may get answers to frequently asked questions and send us an email at grantsmanagement@ms.foundation.org. Please note that the Foundation does not review unsolicited applications for funding. ",15k-20k,"grants open a few times a year, not stated when",,Nicole Outreach: 8/20                   Followed up: 10/1 NG 4/21; NG 10/28,,,,Prospect,Foundation
charles&lynnschustermanfamilyphilanthropies,Charles & Lynn Schusterman Family Philanthropies,012f2000000ww92AAA,all throughout the country ,"We aspire to help shape a public education system in the United States that values all students equally and ensures they have the same opportunities to graduate high school ready for college and careers.

Together with our partners, we strive to help every student access an empowering standards-aligned, culturally relevant education that serves as a building block to a life of freedom and dignity.",No application available,Invite only proposal ,30k-50k,reach out for invite,,Nicole Outreach: 8/20                   Followed up: 10/1NG 4/21,,,https://www.schusterman.org/education,Prospect,Foundation
thecricketislandfoundation,The Cricket Island Foundation,012f2000000ww92AAA,New York,"-
We believe in the power of young people to lead and create systemic change in their communities.
 
We support youth-led, grassroots organizations, working at the intersections of multiple issues facing their communities.",Link to Application,Invite only application,20k-100k,rolling,,Nicole Outreach: 8/20                   Followed up: 10/1,,,"https://www.grantinterface.com/Home/Logon?urlkey=cricketisland
https://www.cricketisland.org/information-for-grantseekers",Prospect,Foundation
voyafinancialfoundation,Voya Financial Foundation,012f2000000ww92AAA,United States,"- Provide innovative and experiential K–8 STEM learning opportunities to promote an early interest in STEM career fields, and improve teachers’ capabilities in STEM; or
- Provide financial education curriculum to grade 9–12 students focused on navigating major financial milestones including student debt, credit, home ownership, financial products and services/financial capability, and family needs.
 ",No application available ,Invite only application(reach out),100k,rolling,,Nicole Outreach: 8/20                   Followed up: 10/1,,,https://www.voya.com/page/voya-foundation,Prospect,Foundation
moody'sfoundation,Moody's Foundation,012f2000000ww92AAA,"Support nonprofit organizations in the New York metropolitan area,","The Moody’s Foundation grant giving focus is in education specifically in mathematics, economics and finance.","Complete eligibility quiz first here. Template for eligibility quiz here. If granted access, Moody's will contact you with an invitation code to submit LOI here.  ",LOI - Invite only,"Up to $300,000",Applications open Mid February ,,Nicole Outreach: 8/30,,,,Prospect,Foundation
thirdwavefund(formerlythirdwavefoundation),Third Wave Fund (formerly Third Wave Foundation),012f2000000ww92AAA,New York,"Third Wave Fund offers grantmaking and donor mobilizing to advance the community power, well-being, and self-determination of young Black, Indigenous, People of Color (BIPOC) most directly impacted by and best positioned to end gender oppression.", Link to Grow Power Fund Application,INVITE ONLY ,May 7                               July 2nd                         Sep 3                              Oct 1    ,10k-25k(depending on the grant we apply for),,"Response Received: Thanks for letting us know about your work.  If we have questions, we will follow up at the email provided. ",,,"https://www.thirdwavefund.org/grow-power-fund
https://mail.google.com/mail/u/0/#inbox/KtbxLwgdfhMjhLLWTMdJqmbWSKzGBGJvzL",Prospect,Foundation
schottfoundation,Schott Foundation,012f2000000ww92AAA,New York,- The Schott Foundation’s core belief is that a broad-based grassroots movement is central to creating the systemic change that is needed to address the disparities poor children and children of color face in our nation’s public education system.,No Application Available  ,Invite only ,,-- ,,Nicole Outreach: 8/30,,,http://schottfoundation.org/our-work/grantmaking,Prospect,Foundation
firstniagara,First Niagara,012f2000000ww92AAA,New York ,- Education: The First Niagara Foundation is committed to investing in education and initiatives at the pre-K through 12 level which contribute to the enhancement of the learning environment and provide equal opportunity for all students to reach their potential.                                                                                 - Mentoring:The Foundation will consider applications from organizations with a proven track record of providing outstanding mentoring programs especially in the fields of education and workforce development. Homepage,No Application Available ,Invite only - Can contact staff for inquiries,,-- ,,Nicole Outreach: 8/30,,,,Prospect,Foundation
meringofffamilyfoundation,Meringoff Family Foundation,012f2000000ww92AAA,New York,"-Hands-on investments in emerging non-profits deploying new approaches to level the playing field for young New Yorkers.                                                                            - Support Education, Animal Welfare, & Youth with Disabilites ",Unable to access application without invite ,Does not accept unsolicited requests - INVITE ONLY!! ,Average is 45k,three times a year(dates not stated),,No contacts listed on website - Checking Linkedin ,,,,Prospect,Foundation
theclarkfoundation,The Clark Foundation,012f2000000ww92AAA,New York,"Support for educational, youth, cultural, and community organizations and institutions in NYC.",No Open Application,--,--,No longer soliciting or reviewing inquiries or information from grantseekers.,,"Response Received: Unfortunately, due to multiple factors, The Clark Foundation most likely will not be initiating any new grantee partnerships during the next year.

We humbly request that you reach out to us again toward the end of calendar year 2024.",,,,Prospect,Foundation
charlesr&winifredrweberfoundation,Charles R & Winifred R Weber Foundation,012f2000000ww92AAA,New York,No public information. Funded Big Brothers Big Sisters,,Invite Only,,,,JC 6/9,,,,Prospect,Foundation
jpmorganchase:thehagedornfund,JPMorgan Chase: The Hagedorn Fund,012f2000000ww92AAA,NYC,"Health (including cancer, HIV/AIDS, blindness), gardens, social services, youth, education, senior services and housing and community development.",,,,Sep 1,,JC 6/9,,,,Prospect,Foundation
sillsfamilyfoundation,Sills Family Foundation,012f2000000ww92AAA,US,"The Sills Family Foundation funds nonprofits that support early childhood education, environmental justice, arts and culture, and families in crisis, with a focus on families and communities impacted by the criminal justice justice system as well as refugees, migrants and asylees.",Invite Only,"1,500 character LOI","$10,000-$25,000",,,,,,https://sillsfamilyfoundation.org/guidelines/letter-of-inquiry/,Prospect,Foundation
carol&geneludwigfamilyfoundation,Carol & Gene Ludwig Family Foundation,012f2000000ww92AAA,US,The Carol and Gene Ludwig Family Foundation’s grantmaking in education is primarily focused on empowering young people from low-income backgrounds to achieve their educational and professional goals.,Invite Only,,,,,JC 6/20 via contact form on website,,,,Prospect,Foundation
ainsliefoundation,Ainslie Foundation,012f2000000ww92AAA,US,"The Ainslie Foundation gives broadly for K-12 and higher education, emphasizing college readiness and success. Education is Ainslie’s largest area of giving overall.",Invite Only,,,,,JC 7/3; JC phone call + follow-up email 7/11; JC 7/17; JC 7/22,,,,Prospect,Foundation
coachfoundation,Coach Foundation,012f2000000ww92AAA,US,To create opportunities and remove barriers for the next generation of young people who have the courage to dream it real.,Invite Only,,,,,,,,,Prospect,Foundation
